SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS,EQ,2021-06-21,62.0,60.75,64.1,59.85,64.0,63.55,62.64,125996,78.92,2608,62996,50.00
21STCENMGM,EQ,2021-06-21,19.5,19.85,19.85,19.85,19.85,19.85,19.85,6539,1.3,43,6537,99.97
3MINDIA,EQ,2021-06-21,25445.4,25205.0,25552.85,25205.0,25303.0,25411.9,25336.78,1092,276.68,797,536,49.08
3PLAND,EQ,2021-06-21,13.8,14.3,14.3,13.5,13.8,13.8,13.76,17919,2.47,137,15329,85.55
5PAISA,EQ,2021-06-21,417.55,425.0,425.0,408.3,416.3,415.8,416.31,32044,133.4,1415,21351,66.63
AAKASH,EQ,2021-06-21,182.6,182.6,200.85,182.0,190.0,190.8,193.69,69455,134.53,1183,22212,31.98
AARTIDRUGS,EQ,2021-06-21,720.1,709.0,717.85,707.0,714.55,713.3,711.58,289830,2062.36,19173,115401,39.82
AARTIIND,EQ,2021-06-21,1770.35,1769.0,1812.65,1750.0,1775.1,1771.9,1778.62,957287,17026.52,48989,426099,44.51
AARTISURF,EQ,2021-06-21,1340.85,1340.0,1383.4,1307.35,1365.0,1363.05,1360.75,10606,144.32,1848,5505,51.90
AARVI,EQ,2021-06-21,66.7,66.05,73.75,65.15,69.1,69.9,71.57,252720,180.86,2509,113578,44.94
AAVAS,EQ,2021-06-21,2512.2,2453.5,2594.75,2429.0,2572.15,2570.0,2544.09,52937,1346.77,5684,20275,38.30
ABB,EQ,2021-06-21,1743.45,1700.0,1738.0,1695.05,1724.0,1719.4,1721.65,152232,2620.9,11330,78297,51.43
ABBOTINDIA,EQ,2021-06-21,16536.7,16235.0,16749.85,16235.0,16450.0,16573.65,16529.08,11063,1828.61,4091,5780,52.25
ABCAPITAL,EQ,2021-06-21,118.5,117.0,119.8,117.0,117.6,117.85,118.07,2467551,2913.48,26368,1083962,43.93
ABFRL,EQ,2021-06-21,201.6,199.0,202.6,196.65,200.2,200.5,200.19,1918906,3841.53,19885,742921,38.72
ABMINTLTD,EQ,2021-06-21,71.25,71.25,74.75,67.75,73.5,73.2,71.18,14621,10.41,212,4991,34.14
