SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS,EQ,2021-07-27,63.95,64.0,64.9,62.5,62.8,62.95,63.71,124095,79.06,1709,89683,72.27
21STCENMGM,EQ,2021-07-27,21.15,20.8,21.55,20.75,21.55,21.35,21.2,11279,2.39,111,9613,85.23
3MINDIA,EQ,2021-07-27,24762.1,24898.0,25011.05,24350.0,24900.15,24973.9,24818.83,2613,648.52,1581,1526,58.40
5PAISA,EQ,2021-07-27,532.6,535.0,549.85,510.1,516.5,516.25,530.19,85208,451.76,5363,27262,31.99
63MOONS,EQ,2021-07-27,105.6,104.4,104.5,100.35,100.35,100.35,101.32,247270,250.53,1904,149589,60.50
A2ZINFRA,EQ,2021-07-27,5.45,5.4,5.55,5.3,5.3,5.3,5.42,376599,20.41,516,254375,67.55
AAKASH,EQ,2021-07-27,238.2,241.7,262.0,239.0,262.0,262.0,254.72,135427,344.96,1626,54941,40.57
AARON,EQ,2021-07-27,125.1,131.35,131.35,126.45,130.0,130.25,130.19,36092,46.99,669,29171,80.82
AARTIDRUGS,EQ,2021-07-27,722.3,729.75,734.9,708.3,724.4,720.55,723.83,382549,2769.0,15815,135915,35.53
AARTIIND,EQ,2021-07-27,895.8,900.0,904.75,884.05,897.0,898.25,895.02,1144038,10239.41,31725,597714,52.25
AARTISURF,EQ,2021-07-27,1579.05,1614.8,1614.8,1520.0,1539.0,1535.3,1571.28,42498,667.76,6358,21572,50.76
AARVEEDEN,EQ,2021-07-27,23.25,23.9,24.4,22.25,24.4,23.8,23.38,58659,13.72,438,26361,44.94
AARVI,EQ,2021-07-27,72.0,72.95,72.95,71.0,71.45,71.15,71.94,32231,23.19,521,21228,65.86
AAVAS,EQ,2021-07-27,2646.9,2684.0,2699.3,2570.05,2598.0,2586.7,2633.5,61222,1612.28,9444,43525,71.09
ABAN,EQ,2021-07-27,48.55,48.25,50.4,47.25,47.85,47.7,48.84,217345,106.15,3709,121037,55.69
ABB,EQ,2021-07-27,1712.3,1727.2,1780.3,1624.05,1652.0,1669.15,1700.23,240727,4092.9,25778,78507,32.61
ABBOTINDIA,EQ,2021-07-27,17859.85,17825.05,18006.0,17820.0,17975.0,17992.4,17944.72,24249,4351.41,4294,20158,83.13
ABCAPITAL,EQ,2021-07-27,117.65,118.3,120.65,117.15,117.2,117.4,118.69,3257851,3866.62,21872,1457417,44.74
ABFRL,EQ,2021-07-27,217.15,217.15,224.9,217.05,222.0,223.05,222.55,5605433,12474.73,48559,1713404,30.57
ABSLBANETF,EQ,2021-07-27,347.44,348.6,349.0,343.0,346.69,346.69,347.4,48,0.17,13,25,52.08
ABSLNN50ET,EQ,2021-07-27,397.2,396.0,407.0,392.1,396.95,396.95,400.47,469,1.88,34,435,92.75
ACC,EQ,2021-07-27,2369.2,2371.0,2395.0,2356.8,2366.25,2371.7,2377.94,1017264,24189.89,46501,326849,32.13
