SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS,EQ,2021-07-26,65.05,65.4,65.8,63.35,64.0,63.95,64.58,114623,74.03,2679,63363,55.28
21STCENMGM,EQ,2021-07-26,21.55,21.15,21.15,21.15,21.15,21.15,21.15,3017,0.64,25,3017,100.00
3MINDIA,EQ,2021-07-26,24216.95,24217.0,24962.0,24090.05,24731.5,24762.1,24603.56,3636,894.59,2431,1857,51.07
5PAISA,EQ,2021-07-26,512.15,519.95,537.75,502.15,529.0,532.6,529.19,119134,630.45,4089,50106,42.06
63MOONS,EQ,2021-07-26,111.15,110.1,111.7,105.6,105.6,105.6,107.09,273915,293.35,3455,181310,66.19
A2ZINFRA,EQ,2021-07-26,5.65,5.65,5.8,5.4,5.4,5.45,5.52,413582,22.82,505,247799,59.92
AAKASH,EQ,2021-07-26,252.5,264.0,277.75,231.05,233.9,238.2,248.9,380989,948.27,5292,137375,36.06
AARON,EQ,2021-07-26,119.15,125.1,125.1,120.0,125.1,125.1,124.89,17778,22.2,304,15158,85.26
AARTIDRUGS,EQ,2021-07-26,717.15,717.15,728.0,714.2,722.8,722.3,723.97,298556,2161.45,9028,121014,40.53
AARTIIND,EQ,2021-07-26,890.9,891.0,901.05,883.1,894.0,895.8,895.43,816371,7310.02,28367,419156,51.34
AARTISURF,EQ,2021-07-26,1481.8,1510.0,1624.3,1470.4,1597.0,1579.05,1572.38,179831,2827.63,18629,63104,35.09
AARVEEDEN,EQ,2021-07-26,24.45,25.5,25.5,23.25,23.25,23.25,23.4,34856,8.16,276,19062,54.69
AARVI,EQ,2021-07-26,72.3,71.85,73.5,70.2,73.0,72.0,71.53,38212,27.33,564,23914,62.58
AAVAS,EQ,2021-07-26,2683.3,2695.0,2726.45,2636.05,2655.0,2646.9,2672.84,32841,877.79,9519,18233,55.52
ABAN,EQ,2021-07-26,50.2,50.9,51.35,47.7,48.25,48.55,49.05,464298,227.74,6274,264272,56.92
ABB,EQ,2021-07-26,1695.8,1688.0,1726.15,1678.15,1714.0,1712.3,1703.38,69698,1187.22,9003,21596,30.99
ABBOTINDIA,EQ,2021-07-26,17815.85,17900.0,17985.0,17619.95,17720.0,17859.85,17810.78,7380,1314.44,3041,3571,48.39
ABCAPITAL,EQ,2021-07-26,118.65,118.8,119.35,117.6,117.8,117.65,117.97,2396867,2827.5,20105,1135708,47.38
ABFRL,EQ,2021-07-26,218.4,215.8,220.6,215.1,217.0,217.15,217.31,1946142,4229.25,20640,415813,21.37
