SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ROML,EQ,2021-07-22,77.95,77.95,83.9,77.6,82.05,82.25,81.21,25879,21.02,508,12839,49.61
ROSSARI,EQ,2021-07-22,1250.5,1260.5,1273.6,1231.0,1238.3,1239.85,1250.53,213269,2666.99,11929,99384,46.60
ROSSELLIND,EQ,2021-07-22,184.25,186.7,199.95,186.05,197.0,194.45,194.49,522917,1017.02,12489,235971,45.13
ROUTE,EQ,2021-07-22,2059.9,2080.15,2108.2,2061.9,2071.0,2072.85,2080.38,232656,4840.13,17292,59242,25.46
RPGLIFE,EQ,2021-07-22,450.1,455.5,466.15,452.35,462.5,461.55,461.52,28355,130.86,2271,15471,54.56
RPPINFRA,EQ,2021-07-22,96.25,98.0,99.8,92.55,92.85,93.25,95.86,1074701,1030.2,11302,524602,48.81
RPSGVENT,EQ,2021-07-22,737.85,747.5,768.0,745.0,746.0,748.1,754.3,98321,741.63,3620,46922,47.72
RSSOFTWARE,EQ,2021-07-22,35.85,35.85,37.6,35.85,37.6,37.6,36.96,53803,19.89,380,43987,81.76
RSWM,EQ,2021-07-22,371.45,384.7,384.7,365.65,368.0,367.5,371.15,116423,432.1,4940,78108,67.09
RSYSTEMS,EQ,2021-07-22,182.2,184.8,193.5,184.7,190.05,188.3,188.7,317607,599.33,8541,118435,37.29
RUBYMILLS,EQ,2021-07-22,266.55,266.85,283.85,266.85,275.4,276.9,276.73,36900,102.11,3094,12711,34.45
RUCHI,EQ,2021-07-22,1112.3,1120.0,1135.0,1090.0,1110.55,1098.1,1110.68,37277,414.03,3588,22852,61.30
RUCHIRA,EQ,2021-07-22,91.35,92.05,94.75,90.55,94.0,93.45,92.67,168980,156.6,3863,87922,52.03
RUPA,EQ,2021-07-22,473.8,477.8,487.9,466.0,472.0,475.3,479.05,388032,1858.87,10697,198480,51.15
RUSHIL,EQ,2021-07-22,290.7,297.0,299.0,284.95,285.0,285.6,287.86,13499,38.86,286,11385,84.34
RVHL,EQ,2021-07-22,22.8,22.95,23.0,22.0,22.05,22.15,22.24,33958,7.55,175,24626,72.52
RVNL,EQ,2021-07-22,30.4,30.7,31.25,30.5,30.7,30.7,30.88,2329331,719.19,8776,955882,41.04
S&SPOWER,EQ,2021-07-22,21.0,21.0,21.0,19.95,20.05,20.05,20.09,1811,0.36,32,1711,94.48
SADBHAV,EQ,2021-07-22,71.75,73.7,74.45,72.1,72.75,72.7,73.18,898126,657.27,7475,466194,51.91
SADBHIN,EQ,2021-07-22,33.05,33.25,33.8,32.8,33.0,33.0,33.25,901581,299.8,3721,660903,73.30
SAFARI,EQ,2021-07-22,756.8,762.3,768.9,748.05,764.2,760.65,757.57,8839,66.96,1931,4666,52.79
