SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS,EQ,2021-07-19,65.15,65.55,70.0,65.55,67.9,67.6,68.06,506566,344.79,5697,304292,60.07
21STCENMGM,EQ,2021-07-19,23.25,23.25,23.25,22.8,22.8,22.8,22.85,899,0.21,27,899,100.00
3MINDIA,EQ,2021-07-19,24733.65,24665.0,24688.0,24351.0,24511.95,24455.5,24474.91,1248,305.45,861,656,52.56
3PLAND,EQ,2021-07-19,16.2,16.95,17.0,16.2,17.0,17.0,16.92,33244,5.63,132,29792,89.62
5PAISA,EQ,2021-07-19,552.2,551.0,564.8,530.1,539.5,538.95,551.63,190010,1048.16,7399,87466,46.03
AAKASH,EQ,2021-07-19,224.35,223.5,230.0,217.5,227.5,225.35,222.22,74700,166.0,536,28552,38.22
AARTIDRUGS,EQ,2021-07-19,730.65,728.5,728.5,716.0,719.0,720.55,723.72,219428,1588.04,8481,88443,40.31
AARTIIND,EQ,2021-07-19,856.95,855.0,861.4,846.95,852.8,852.55,855.24,883147,7553.04,29879,573038,64.89
AARTISURF,EQ,2021-07-19,1384.75,1380.0,1480.0,1380.0,1432.0,1415.9,1450.22,54354,788.25,7497,26833,49.37
AARVI,EQ,2021-07-19,70.6,71.35,74.0,70.0,70.8,70.8,72.06,96950,69.86,1525,59786,61.67
AAVAS,EQ,2021-07-19,2867.45,2874.0,2920.0,2844.2,2875.0,2877.9,2891.64,17825,515.43,5179,6376,35.77
ABB,EQ,2021-07-19,1763.2,1772.5,1777.9,1731.15,1735.9,1738.8,1741.37,103293,1798.72,9014,75190,72.79
ABBOTINDIA,EQ,2021-07-19,17484.45,17250.0,17430.0,17222.75,17290.85,17344.25,17325.18,8646,1497.93,2300,5097,58.95
ABCAPITAL,EQ,2021-07-19,124.6,123.9,127.35,123.1,124.4,124.4,125.34,6445451,8078.63,39727,1833075,28.44
ABFRL,EQ,2021-07-19,223.55,220.45,224.5,217.0,218.4,218.7,220.54,1610265,3551.2,16889,427881,26.57
ABMINTLTD,EQ,2021-07-19,89.55,94.0,94.0,94.0,94.0,94.0,94.0,3143,2.95,61,2943,93.64
ABSLBANETF,EQ,2021-07-19,355.3,350.22,357.0,347.95,349.8,349.31,350.79,556,1.95,54,393,70.68
ABSLNN50ET,EQ,2021-07-19,397.55,399.6,403.0,394.26,397.5,397.5,398.87,240,0.96,28,146,60.83
ACC,EQ,2021-07-19,2129.35,2117.9,2168.0,2105.2,2167.35,2151.9,2137.47,666887,14254.53,37990,166573,24.98
ACCELYA,EQ,2021-07-19,1435.05,1432.0,1446.35,1392.7,1413.0,1403.8,1418.23,104357,1480.02,7986,43576,41.76
ACCURACY,EQ,2021-07-19,88.8,85.05,87.8,83.55,85.35,86.1,85.75,17229,14.77,387,9360,54.33
ACE,EQ,2021-07-19,231.45,230.9,236.5,228.5,235.0,234.35,232.73,543260,1264.34,15774,182276,33.55
ACRYSIL,EQ,2021-07-19,612.15,606.3,611.1,601.1,605.0,602.35,606.25,46774,283.57,2714,35017,74.86
ADANIENT,EQ,2021-07-19,1395.5,1390.0,1412.65,1332.75,1377.95,1380.6,1372.94,6190302,84989.09,120662,464942,7.51
ADANIPORTS,EQ,2021-07-19,687.6,686.0,693.0,661.4,673.85,673.7,677.93,13618862,92326.46,209938,3204432,23.53
ADFFOODS,EQ,2021-07-19,875.2,874.9,900.0,865.05,874.0,871.1,880.17,37773,332.47,4357,16032,42.44
ADORWELD,EQ,2021-07-19,753.3,753.3,780.0,741.45,748.25,749.3,761.65,37709,287.21,2691,20108,53.32
ADSL,EQ,2021-07-19,67.9,67.7,69.4,67.0,68.65,68.1,68.45,199191,136.34,1720,128857,64.69
ADVANIHOTR,EQ,2021-07-19,71.95,71.0,78.7,68.55,77.4,76.7,75.38,330392,249.05,5225,147444,44.63
ADVENZYMES,EQ,2021-07-19,414.0,412.0,413.4,406.0,407.5,407.55,408.79,198057,809.64,9645,95508,48.22
AEGISCHEM,EQ,2021-07-19,320.6,317.85,324.6,316.05,320.6,319.85,320.31,818704,2622.4,13236,390412,47.69
AGARIND,EQ,2021-07-19,355.55,360.0,362.0,353.05,361.0,359.35,358.53,35658,127.85,815,26396,74.03
AGRITECH,EQ,2021-07-19,45.15,47.25,47.25,45.05,45.25,45.35,45.85,31286,14.34,652,11336,36.23
AGROPHOS,EQ,2021-07-19,15.4,14.9,15.85,14.9,15.4,15.3,15.44,107804,16.64,514,58671,54.42
AHLADA,EQ,2021-07-19,209.0,209.8,214.0,203.0,203.05,203.45,206.97,117299,242.77,2516,93308,79.55
AHLEAST,EQ,2021-07-19,175.35,171.4,179.25,171.4,177.3,178.55,176.13,5834,10.28,251,3499,59.98
AHLUCONT,EQ,2021-07-19,400.85,399.9,430.0,396.55,414.0,411.75,420.96,160649,676.27,10769,58003,36.11
AHLWEST,EQ,2021-07-19,241.55,236.0,244.9,236.0,244.5,243.55,241.85,5688,13.76,388,3153,55.43
AIAENG,EQ,2021-07-19,2046.7,2049.95,2077.0,2026.0,2060.1,2062.6,2055.04,10598,217.79,2118,4924,46.46
AJANTPHARM,EQ,2021-07-19,2155.25,2156.0,2160.0,2097.0,2130.6,2136.9,2122.79,51941,1102.6,8128,22251,42.84
AJMERA,EQ,2021-07-19,309.0,304.1,317.0,295.0,310.0,310.85,307.78,187688,577.67,3791,83370,44.42
AKASH,EQ,2021-07-19,228.2,231.85,231.85,218.5,220.45,221.1,226.62,20225,45.83,716,12799,63.28
AKG,EQ,2021-07-19,26.6,26.05,27.15,25.5,26.0,25.65,26.08,17748,4.63,177,10977,61.85
AKSHARCHEM,EQ,2021-07-19,440.95,444.7,474.3,435.1,457.5,455.55,456.02,124232,566.52,9670,43689,35.17
AKZOINDIA,EQ,2021-07-19,2281.55,2265.0,2287.95,2260.0,2264.2,2264.4,2271.63,5022,114.08,1143,3123,62.19
ALANKIT,EQ,2021-07-19,21.75,20.25,22.5,20.0,20.8,20.9,21.44,3481734,746.65,7053,1191488,34.22
ALBERTDAVD,EQ,2021-07-19,540.8,540.0,541.75,530.0,531.9,533.3,535.94,28750,154.08,2092,16496,57.38
ALEMBICLTD,EQ,2021-07-19,134.5,133.9,139.35,132.15,135.55,135.65,136.51,2124208,2899.84,21665,713257,33.58
ALICON,EQ,2021-07-19,800.75,802.95,805.0,763.3,775.0,774.85,783.23,43984,344.49,3847,20439,46.47
ALKALI,EQ,2021-07-19,91.35,89.6,93.9,87.5,91.35,90.9,91.41,153942,140.72,6062,70517,45.81
ALKEM,EQ,2021-07-19,3351.15,3350.0,3461.3,3320.0,3457.0,3448.7,3410.47,245909,8386.66,21944,31819,12.94
ALKYLAMINE,EQ,2021-07-19,3764.95,3750.05,3775.0,3678.0,3705.0,3692.6,3717.93,59623,2216.74,11453,32912,55.20
ALLCARGO,EQ,2021-07-19,160.7,160.0,167.5,158.4,162.1,162.4,164.28,2238586,3677.56,13851,1229390,54.92
ALLSEC,EQ,2021-07-19,538.4,536.3,538.7,525.0,530.0,529.55,532.06,39815,211.84,2398,24346,61.15
ALMONDZ,EQ,2021-07-19,64.6,65.95,65.95,61.4,62.5,62.4,62.44,29355,18.33,497,22442,76.45
ALOKINDS,EQ,2021-07-19,27.8,27.45,27.85,27.2,27.35,27.45,27.51,9529994,2621.87,16114,4945710,51.90
ALPHAGEO,EQ,2021-07-19,324.3,323.5,327.2,315.95,319.8,316.85,320.9,40572,130.19,2396,21824,53.79
AMARAJABAT,EQ,2021-07-19,727.85,727.0,729.35,721.0,722.0,722.3,724.6,1081682,7837.82,32782,636174,58.81
AMBER,EQ,2021-07-19,3031.05,3002.0,3048.75,3000.65,3030.05,3032.4,3026.86,41247,1248.49,7773,24105,58.44
AMBICAAGAR,EQ,2021-07-19,20.1,20.5,20.5,19.65,19.65,19.8,20.01,42383,8.48,266,34996,82.57
AMBIKCO,EQ,2021-07-19,1405.05,1398.7,1476.0,1385.0,1460.0,1456.3,1443.65,104308,1505.85,9949,45227,43.36
AMBUJACEM,EQ,2021-07-19,383.05,382.3,388.35,380.4,387.95,386.55,383.71,3708612,14230.26,51056,1861304,50.19
AMDIND,EQ,2021-07-19,31.1,32.0,32.0,30.5,30.9,30.65,31.31,32817,10.28,346,23466,71.51
AMJLAND,EQ,2021-07-19,34.9,34.65,35.4,33.4,33.95,33.85,34.52,81099,27.99,1109,39242,48.39
AMRUTANJAN,EQ,2021-07-19,706.1,704.4,704.4,690.0,692.95,691.55,695.58,51700,359.61,4380,28675,55.46
ANDHRAPAP,EQ,2021-07-19,253.0,252.95,259.0,250.35,255.95,254.65,255.97,45126,115.51,2380,20505,45.44
ANDHRSUGAR,EQ,2021-07-19,547.15,549.5,569.0,545.05,551.75,550.9,557.63,181094,1009.83,6611,66550,36.75
ANGELBRKG,EQ,2021-07-19,1272.15,1318.0,1475.0,1302.15,1373.0,1357.25,1383.39,3178718,43974.09,153762,694655,21.85
ANIKINDS,EQ,2021-07-19,25.3,24.35,26.55,24.35,25.0,25.05,25.76,154157,39.72,826,57348,37.20
ANMOL,EQ,2021-07-19,171.7,166.3,173.9,165.0,165.55,166.6,170.21,30840,52.49,330,4476,14.51
ANSALHSG,EQ,2021-07-19,9.95,9.5,9.5,9.5,9.5,9.5,9.5,67134,6.38,129,67134,100.00
ANUP,EQ,2021-07-19,970.95,972.7,1032.7,970.0,1002.0,995.95,1009.54,316570,3195.9,23820,102127,32.26
ANURAS,EQ,2021-07-19,814.35,814.0,814.0,791.55,799.0,799.45,801.98,143120,1147.79,4075,96280,67.27
APARINDS,EQ,2021-07-19,565.0,562.7,575.0,559.9,564.0,564.05,566.79,43854,248.56,3047,21924,49.99
APCL,EQ,2021-07-19,431.1,439.75,511.0,437.0,484.0,485.5,480.75,908623,4368.17,36808,206613,22.74
APCOTEXIND,EQ,2021-07-19,320.25,315.5,323.9,315.5,323.0,321.85,320.92,47888,153.68,2743,30853,64.43
APEX,EQ,2021-07-19,384.75,378.2,394.25,373.25,376.4,378.35,382.43,125536,480.09,4745,58054,46.24
APLAPOLLO,EQ,2021-07-19,1570.8,1599.0,1599.0,1516.0,1532.0,1531.3,1551.41,164683,2554.91,22372,109937,66.76
APLLTD,EQ,2021-07-19,968.6,962.0,967.7,952.3,959.95,956.9,959.94,224201,2152.2,11188,79863,35.62
APOLLO,EQ,2021-07-19,121.7,121.1,123.5,118.3,119.3,119.4,119.97,330053,395.95,7832,128426,38.91
APOLLOHOSP,EQ,2021-07-19,3779.1,3779.1,3919.95,3765.0,3891.0,3883.75,3871.54,1044561,40440.6,62108,151974,14.55
APOLLOPIPE,EQ,2021-07-19,999.15,1004.1,1024.0,986.2,994.0,995.65,999.39,26600,265.84,2932,17558,66.01
APOLLOTYRE,EQ,2021-07-19,230.85,229.55,229.55,222.8,225.65,225.35,225.09,5981959,13464.96,53385,2582072,43.16
APOLSINHOT,EQ,2021-07-19,799.6,793.0,805.0,785.25,804.75,800.3,798.29,1268,10.12,239,772,60.88
APTECHT,EQ,2021-07-19,247.65,246.0,249.0,242.0,243.7,243.75,245.74,246273,605.19,4770,122551,49.76
ARCHIES,EQ,2021-07-19,23.25,25.6,27.9,25.4,27.9,27.9,27.14,4125861,1119.57,8031,1902945,46.12
ARENTERP,EQ,2021-07-19,16.15,16.35,16.9,15.65,16.9,16.75,16.46,2469,0.41,31,2378,96.31
ARIES,EQ,2021-07-19,171.3,171.3,179.95,164.0,173.75,175.3,174.42,312443,544.97,6884,121341,38.84
ARIHANTCAP,EQ,2021-07-19,174.1,174.0,185.9,170.1,177.65,177.75,180.77,173252,313.18,4288,102033,58.89
ARMANFIN,EQ,2021-07-19,696.3,697.0,701.3,677.0,682.5,681.3,685.55,9266,63.52,1156,4469,48.23
AROGRANITE,EQ,2021-07-19,70.15,69.75,72.35,68.3,69.2,69.5,70.37,118419,83.33,2502,57027,48.16
