SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS,EQ,2021-07-20,67.6,68.9,69.15,65.6,66.15,66.25,67.32,345355,232.5,4717,162378,47.02
21STCENMGM,EQ,2021-07-20,22.8,22.8,22.8,22.35,22.35,22.35,22.38,1655,0.37,29,1655,100.00
3MINDIA,EQ,2021-07-20,24455.5,24500.0,24674.0,23932.95,24368.0,24258.7,24137.97,3530,852.07,1919,2138,60.57
5PAISA,EQ,2021-07-20,538.95,542.75,549.0,512.05,513.9,514.1,524.33,107902,565.77,5057,39909,36.99
63MOONS,EQ,2021-07-20,99.2,102.85,104.15,96.3,104.15,104.15,101.81,453565,461.78,3937,305443,67.34
A2ZINFRA,EQ,2021-07-20,5.7,5.75,5.8,5.45,5.5,5.5,5.53,699046,38.64,624,474709,67.91
AAKASH,EQ,2021-07-20,225.35,227.1,231.05,222.55,229.0,228.8,227.7,81753,186.15,913,34366,42.04
AARON,EQ,2021-07-20,117.35,118.95,118.95,111.5,111.5,111.55,111.98,29601,33.15,518,22220,75.07
AARTIDRUGS,EQ,2021-07-20,720.55,723.5,723.5,707.0,712.5,713.05,713.55,192944,1376.74,8882,80193,41.56
AARTIIND,EQ,2021-07-20,852.55,851.4,885.0,840.5,863.0,862.15,867.47,1889603,16391.68,49266,512896,27.14
AARTISURF,EQ,2021-07-20,1415.9,1433.0,1468.95,1392.1,1407.0,1409.3,1425.21,17519,249.68,3458,7770,44.35
AARVEEDEN,EQ,2021-07-20,25.7,26.8,26.95,24.45,26.95,26.9,26.72,133458,35.66,602,98044,73.46
AARVI,EQ,2021-07-20,70.8,71.9,74.0,68.0,71.0,71.25,71.72,110136,78.99,1892,54578,49.56
AAVAS,EQ,2021-07-20,2877.9,2877.9,2917.0,2726.6,2840.25,2804.5,2802.46,46581,1305.41,11333,17702,38.00
ABAN,EQ,2021-07-20,43.45,45.6,45.6,43.9,45.6,45.6,45.24,306203,138.51,2322,205284,67.04
ABB,EQ,2021-07-20,1738.8,1739.25,1743.85,1710.0,1713.5,1719.0,1721.72,111360,1917.31,14110,77222,69.34
ABBOTINDIA,EQ,2021-07-20,17344.25,17301.1,17507.5,17100.0,17500.0,17469.4,17289.31,9865,1705.59,3647,5398,54.72
ABCAPITAL,EQ,2021-07-20,124.4,124.45,125.0,118.75,119.9,119.9,120.94,4180491,5055.93,25726,1413092,33.80
ABFRL,EQ,2021-07-20,218.7,220.0,221.2,205.1,208.45,208.55,210.88,4363622,9201.86,42816,1442439,33.06
ABMINTLTD,EQ,2021-07-20,94.0,98.7,98.7,98.7,98.7,98.7,98.7,872,0.86,21,872,100.00
ABSLBANETF,EQ,2021-07-20,349.31,350.6,352.29,342.45,342.87,343.25,345.65,595,2.06,51,359,60.34
ABSLNN50ET,EQ,2021-07-20,397.5,395.0,395.0,391.0,391.0,391.0,392.74,75,0.29,26,66,88.00
ACC,EQ,2021-07-20,2151.9,2226.0,2344.05,2192.2,2301.0,2308.85,2287.35,8593295,196559.08,300851,441260,5.13
ACCELYA,EQ,2021-07-20,1403.8,1405.0,1425.0,1327.6,1359.15,1355.7,1366.19,100644,1374.99,7787,36530,36.30
ACCURACY,EQ,2021-07-20,86.1,83.3,89.3,83.3,88.0,86.7,84.6,52587,44.49,352,5636,10.72
ACE,EQ,2021-07-20,234.35,236.0,236.0,227.0,228.55,228.35,231.0,670416,1548.65,16425,204354,30.48
ACRYSIL,EQ,2021-07-20,602.35,605.0,617.3,575.0,590.0,585.25,588.91,83556,492.07,6214,48974,58.61
ADANIENT,EQ,2021-07-20,1380.6,1340.0,1382.9,1336.1,1358.2,1365.7,1361.89,4529933,61692.6,92452,372394,8.22
ADANIPORTS,EQ,2021-07-20,673.7,661.0,680.85,660.0,671.85,672.6,669.92,11533588,77265.99,159528,1787715,15.50
ADFFOODS,EQ,2021-07-20,871.1,870.0,899.9,870.0,880.0,879.1,884.81,38500,340.65,3663,15963,41.46
ADORWELD,EQ,2021-07-20,749.3,745.2,757.0,682.0,714.0,715.8,714.72,51862,370.67,4276,24458,47.16
ADSL,EQ,2021-07-20,68.1,68.1,68.5,64.75,65.15,64.95,65.99,257075,169.65,2252,170325,66.25
ADVANIHOTR,EQ,2021-07-20,76.7,78.0,78.5,72.0,74.05,74.45,74.5,122746,91.44,3023,56841,46.31
