SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS,EQ,2021-07-15,64.6,64.95,66.7,64.0,64.25,64.55,65.25,267449,174.52,3430,167392,62.59
21STCENMGM,EQ,2021-07-15,24.15,24.6,24.6,23.7,23.7,23.7,23.94,6663,1.6,84,5604,84.11
3MINDIA,EQ,2021-07-15,24165.45,24498.95,24500.0,24156.95,24337.95,24310.9,24307.94,1205,292.91,698,615,51.04
3PLAND,EQ,2021-07-15,16.25,15.45,15.95,15.45,15.45,15.45,15.48,60921,9.43,175,43605,71.58
5PAISA,EQ,2021-07-15,553.2,567.4,580.0,525.55,525.55,525.95,550.07,342474,1883.85,13463,143639,41.94
AAKASH,EQ,2021-07-15,216.75,220.0,227.75,210.0,224.9,225.9,220.39,206617,455.36,1819,95452,46.20
AARTIDRUGS,EQ,2021-07-15,712.6,713.05,721.35,713.05,716.4,717.1,716.89,180531,1294.22,7444,75445,41.79
AARTIIND,EQ,2021-07-15,859.2,860.0,863.0,851.0,855.0,854.45,858.46,494589,4245.87,11791,304154,61.50
AARTISURF,EQ,2021-07-15,1393.6,1415.0,1415.0,1370.25,1385.0,1386.8,1385.6,10198,141.3,1773,6016,58.99
AARVI,EQ,2021-07-15,74.1,74.95,76.55,70.45,71.45,71.0,72.54,79640,57.77,1425,56995,71.57
AAVAS,EQ,2021-07-15,2910.8,2910.8,2931.55,2817.65,2868.0,2863.5,2873.36,35453,1018.69,5975,22445,63.31
ABB,EQ,2021-07-15,1805.5,1806.5,1818.5,1770.0,1778.5,1779.05,1783.09,87502,1560.24,6363,50683,57.92
ABBOTINDIA,EQ,2021-07-15,17388.65,17388.65,17400.0,17211.15,17330.05,17336.45,17339.0,6140,1064.61,2113,3446,56.12
ABCAPITAL,EQ,2021-07-15,120.75,121.0,121.55,118.7,119.1,119.05,119.98,2181288,2617.11,12182,919350,42.15
ABFRL,EQ,2021-07-15,227.65,228.45,228.85,222.8,223.6,223.95,225.83,1829532,4131.57,16562,555367,30.36
ABMINTLTD,EQ,2021-07-15,81.25,85.3,85.3,82.0,85.3,85.3,84.99,4186,3.56,93,3206,76.59
ABSLBANETF,EQ,2021-07-15,354.27,354.89,357.72,354.66,357.27,357.13,356.21,88,0.31,26,53,60.23
ABSLNN50ET,EQ,2021-07-15,395.35,399.6,399.6,396.0,396.0,396.0,396.41,205,0.81,7,203,99.02
ACC,EQ,2021-07-15,2081.55,2080.0,2125.1,2068.7,2122.45,2112.45,2094.77,710905,14891.86,30923,278377,39.16
ACCELYA,EQ,2021-07-15,1484.9,1485.0,1507.0,1451.2,1457.0,1459.35,1472.56,253248,3729.24,8371,139425,55.05
ACCURACY,EQ,2021-07-15,90.7,90.7,94.7,89.15,91.55,90.8,90.63,27758,25.16,481,19489,70.21
ACE,EQ,2021-07-15,230.95,229.0,234.65,227.05,229.25,228.65,230.91,452347,1044.53,8972,181740,40.18
ACRYSIL,EQ,2021-07-15,618.3,616.0,625.0,607.5,611.0,611.45,613.2,41997,257.53,3016,25215,60.04
ADANIENT,EQ,2021-07-15,1402.05,1399.0,1429.0,1393.4,1406.0,1407.95,1407.55,2728305,38402.2,56937,272155,9.98
ADANIPORTS,EQ,2021-07-15,697.25,699.7,706.4,695.5,698.8,699.1,699.88,7490612,52425.31,103614,1761468,23.52
ADFFOODS,EQ,2021-07-15,886.85,895.0,903.0,851.0,861.95,863.35,872.87,79792,696.48,7063,50240,62.96
ADORWELD,EQ,2021-07-15,775.85,782.0,794.4,741.3,746.95,745.9,771.26,60138,463.82,4257,33255,55.30
ADSL,EQ,2021-07-15,67.8,69.0,70.9,68.0,68.85,68.55,69.78,370072,258.24,2809,210447,56.87
ADVANIHOTR,EQ,2021-07-15,67.85,67.85,68.9,66.25,66.35,66.45,67.43,21885,14.76,321,11630,53.14
ADVENZYMES,EQ,2021-07-15,415.75,417.0,421.8,411.1,412.25,412.65,416.54,204325,851.09,6204,88092,43.11
AEGISCHEM,EQ,2021-07-15,342.6,345.8,353.35,332.9,335.4,334.6,341.86,1445100,4940.16,22316,693582,48.00
AGARIND,EQ,2021-07-15,354.2,359.0,364.0,352.0,355.25,357.2,360.01,53394,192.23,1538,37102,69.49
AGRITECH,EQ,2021-07-15,44.75,45.15,45.9,44.55,45.3,45.3,45.22,8198,3.71,146,5331,65.03
