SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS,EQ,2021-07-07,61.4,61.65,62.9,60.7,62.1,61.75,61.9,120200,74.4,1657,81565,67.86
21STCENMGM,EQ,2021-07-07,24.4,24.85,24.85,24.85,24.85,24.85,24.85,4874,1.21,32,4874,100.00
3MINDIA,EQ,2021-07-07,24669.2,24898.0,24898.0,24250.0,24350.2,24327.25,24517.14,4452,1091.5,1683,1475,33.13
3PLAND,EQ,2021-07-07,12.95,13.25,14.2,13.15,14.2,14.2,13.95,108895,15.19,488,57624,52.92
5PAISA,EQ,2021-07-07,436.15,447.4,457.95,436.05,457.95,457.95,453.79,149216,677.12,3375,52959,35.49
AAKASH,EQ,2021-07-07,200.75,205.0,205.0,200.4,201.0,202.4,202.5,65644,132.93,481,13690,20.85
AARTIDRUGS,EQ,2021-07-07,735.05,735.0,742.0,723.35,732.4,732.75,736.49,253013,1863.42,13759,84034,33.21
AARTIIND,EQ,2021-07-07,849.35,850.0,865.1,845.35,864.05,863.2,856.75,1646860,14109.39,34380,1110931,67.46
AARTISURF,EQ,2021-07-07,1380.5,1381.0,1398.0,1376.0,1386.0,1380.65,1381.43,8676,119.85,1348,5741,66.17
AARVI,EQ,2021-07-07,71.9,72.65,74.8,70.3,73.8,73.8,72.69,114067,82.92,1628,60859,53.35
AAVAS,EQ,2021-07-07,2858.4,2860.0,3000.0,2860.0,2980.0,2974.05,2952.34,359477,10612.99,25484,144695,40.25
ABB,EQ,2021-07-07,1757.75,1753.0,1757.7,1730.2,1740.0,1742.1,1743.78,69427,1210.65,5448,44580,64.21
ABBOTINDIA,EQ,2021-07-07,17227.25,17355.0,17355.0,17057.7,17155.0,17260.6,17226.9,11796,2032.08,4022,6554,55.56
ABCAPITAL,EQ,2021-07-07,115.55,115.3,116.6,113.7,114.55,114.4,114.61,2152007,2466.43,16143,988964,45.96
ABFRL,EQ,2021-07-07,214.95,214.5,216.2,212.45,214.0,213.5,213.94,1135288,2428.78,11406,578959,51.00
ABMINTLTD,EQ,2021-07-07,68.15,70.9,70.9,66.2,66.2,68.7,68.98,1372,0.95,49,731,53.28
ABSLBANETF,EQ,2021-07-07,353.7,352.37,355.66,352.37,355.6,355.58,353.62,60385,213.54,43,60011,99.38
ABSLNN50ET,EQ,2021-07-07,394.85,394.0,394.0,394.0,394.0,394.0,394.0,37,0.15,6,37,100.00
ACC,EQ,2021-07-07,2022.85,2031.7,2044.45,2012.9,2035.3,2036.55,2029.01,339727,6893.1,36847,134898,39.71
ACCELYA,EQ,2021-07-07,1323.85,1332.2,1347.8,1313.45,1331.0,1331.25,1330.61,98465,1310.19,5992,24731,25.12
ACCURACY,EQ,2021-07-07,79.4,81.95,83.0,77.45,82.8,82.1,81.41,15675,12.76,218,10433,66.56
ACE,EQ,2021-07-07,230.9,231.95,238.0,228.95,233.0,233.55,233.81,413400,966.56,10548,114797,27.77
ACRYSIL,EQ,2021-07-07,617.6,619.0,628.0,611.0,617.0,616.85,618.48,38731,239.54,1756,20807,53.72
ADANIENT,EQ,2021-07-07,1414.8,1420.0,1437.1,1385.0,1426.7,1425.65,1410.15,5549751,78259.98,111349,309657,5.58
ADANIPORTS,EQ,2021-07-07,712.7,716.9,723.0,706.0,722.5,720.1,715.66,8719991,62405.43,113244,1184629,13.59
ADFFOODS,EQ,2021-07-07,900.95,912.0,912.0,885.8,894.8,895.65,898.13,21010,188.7,3597,8582,40.85
ADORWELD,EQ,2021-07-07,683.6,683.6,693.25,670.0,686.0,683.65,683.4,15445,105.55,1358,9985,64.65
ADSL,EQ,2021-07-07,66.45,66.25,68.35,66.0,67.15,67.45,67.31,141014,94.91,1746,80030,56.75
ADVANIHOTR,EQ,2021-07-07,68.1,69.5,69.75,68.3,68.95,68.9,69.03,14276,9.86,245,7690,53.87
ADVENZYMES,EQ,2021-07-07,407.85,410.25,412.05,398.75,402.0,401.9,405.68,278898,1131.43,7639,156001,55.93
AEGISCHEM,EQ,2021-07-07,344.55,345.4,352.5,342.25,351.0,351.35,347.4,284434,988.13,6840,130982,46.05
AGARIND,EQ,2021-07-07,322.4,327.0,327.0,306.5,320.0,316.8,317.16,34123,108.22,944,22221,65.12
AGRITECH,EQ,2021-07-07,44.65,45.25,45.25,44.1,44.2,44.25,44.65,4848,2.16,105,2830,58.37
AGROPHOS,EQ,2021-07-07,14.9,16.1,16.35,15.8,16.35,16.35,16.24,225109,36.55,558,212345,94.33
AHLADA,EQ,2021-07-07,208.4,212.4,215.5,208.35,210.7,210.25,212.12,73775,156.49,1564,57200,77.53
AHLEAST,EQ,2021-07-07,181.3,181.4,192.0,178.6,188.0,188.6,188.73,29880,56.39,840,12854,43.02
AHLUCONT,EQ,2021-07-07,387.6,391.5,391.5,379.5,381.9,380.85,383.03,13961,53.47,1372,7117,50.98
AHLWEST,EQ,2021-07-07,243.95,246.0,251.8,242.3,251.8,249.6,247.19,22906,56.62,883,15389,67.18
AIAENG,EQ,2021-07-07,2166.0,2170.0,2222.0,2139.95,2150.0,2169.9,2183.89,135057,2949.49,6243,112623,83.39
AJANTPHARM,EQ,2021-07-07,2165.6,2145.2,2197.9,2135.0,2175.0,2169.05,2165.05,72476,1569.14,10048,26453,36.50
AJMERA,EQ,2021-07-07,294.65,300.0,313.5,291.0,299.5,299.5,303.08,409658,1241.59,14854,145287,35.47
AKASH,EQ,2021-07-07,235.2,238.5,239.2,225.0,230.0,231.05,232.22,20673,48.01,845,11472,55.49
AKG,EQ,2021-07-07,27.35,26.65,27.9,26.65,27.2,27.5,27.35,5424,1.48,75,2674,49.30
AKSHARCHEM,EQ,2021-07-07,368.3,369.9,374.2,359.95,360.0,364.1,367.46,44543,163.68,1916,24361,54.69
AKZOINDIA,EQ,2021-07-07,2327.7,2322.05,2345.9,2313.1,2326.5,2330.65,2330.2,4803,111.92,1180,2738,57.01
