GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
G,MOTHERSON SUMI SYSTEMS LT,       253.35,       252.05,0.52
G,MARICO LIMITED,       489.30,       486.90,0.49
G,TORRENT PHARMACEUTICALS L,      2824.80,      2811.55,0.47
G,P&G HYGIENE & HEALTH CARE,     12900.05,     12847.30,0.41
G,MUTHOOT FINANCE LIMITED,      1513.15,      1509.35,0.25
G,GENERAL INS CORP OF INDIA,       201.15,       200.65,0.25
G,PIDILITE INDUSTRIES LTD,      2084.40,      2079.40,0.24
 , , , , 
L,NMDC LTD.,       182.30,       193.30,-5.69
L,PUNJAB NATIONAL BANK,        42.10,        43.10,-2.32
L,BAJAJ HOLDINGS & INVS LTD,      3486.00,      3527.35,-1.17
L,HDFC AMC LIMITED,      3032.70,      3067.60,-1.14
L,ADANI GREEN ENERGY LTD,      1264.85,      1277.25,-0.97
L,ADANI TRANSMISSION LTD,      1589.45,      1602.05,-0.79
L,ALKEM LABORATORIES LTD.,      3140.45,      3164.95,-0.77
L,HAVELLS INDIA LIMITED,      1050.80,      1056.80,-0.57
L,SBI CARDS & PAY SER LTD,      1044.30,      1049.65,-0.51
L,SIEMENS LTD,      2110.90,      2119.75,-0.42
L,GODREJ CONSUMER PRODUCTS,       849.10,       852.55,-0.4
L,ABBOTT INDIA LIMITED,     15897.95,     15940.40,-0.27
L,AVENUE SUPERMARTS LIMITED,      3188.95,      3197.00,-0.25
L,ICICI LOMBARD GIC LIMITED,      1444.35,      1447.50,-0.22
L,CADILA HEALTHCARE LIMITED,       636.15,       636.50,-0.05
 , , , , 
 ,OTHER SECURITIES, , , 
 , , , , 
G,THE STATE TRADING CORPN,       118.20,        98.50,20
G,K M SUGAR MILLS LTD,        23.40,        19.50,20
G,SEC RED NCD SR. VIII,       558.12,       465.10,20
G,ADANI POWER LTD,       126.90,       105.75,20
G,DPSC LIMITED,        15.30,        12.75,20
G,REMSONS INDUSTRIES LTD,       212.15,       176.80,19.99
G,G M BREWERIES LTD,       628.95,       524.15,19.99
G,SALONA COTSPIN LTD.,       151.95,       126.65,19.98
G,ALKALI METALS LTD,        82.00,        68.35,19.97
G,ORIENT PRESS LIMITED,        93.20,        77.70,19.95
G,ACCURACY SHIPPING LIMITED,        70.95,        59.20,19.85
G,BEDMUTHA INDUST LTD,        28.10,        23.45,19.83
G,MAZAGON DOCK SHIPBUIL LTD,       274.00,       228.80,19.76
G,R. S. SOFTWARE (INDIA) LI,        33.85,        28.30,19.61
G,TOTAL TRANSPORT SYS LTD,        50.10,        41.95,19.43
G,8.48%S-R-NCD SERIES 2A,      1531.99,      1283.00,19.41
G,CONSO. FIN. & HOLD. LTD.,        80.90,        67.85,19.23
G,SEC RED NCD 9.50% SR. VII,       432.97,       363.21,19.21
G,DALMIA BHARAT SUG IN LTD,       397.05,       335.25,18.43
G,AVADH SUG & ENERGY LTD,       369.30,       312.20,18.29
G,DEV INFO TECHNOLOGY LTD,       111.50,        94.50,17.99
G,AXISCADES TECH LTD,        93.55,        79.85,17.16
G,TERA SOFTWARE LIMITED,        53.95,        46.15,16.9
G,DWARIKESH SUGAR IND LTD,        65.95,        56.80,16.11
G,AHLADA ENGINEERS LIMITED,       132.45,       114.35,15.83
G,UTTAM SUGAR MILLS LTD.,       166.95,       144.15,15.82
G,GP PETROLEUMS LIMITED,        74.85,        64.65,15.78
G,NORTH EAST CARRY CORP LTD,        12.90,        11.15,15.7
G,NIIT LIMITED,       253.05,       221.35,14.32
G,ANGEL BROKING LIMITED,       927.70,       812.35,14.2
 , , , , 
L,BOND 7.03% PA TAX FREE S1,      1078.40,      1348.00,-20
L,SRNCD SR VII B,       570.20,       690.00,-17.36
L,UNS RED NCD 9.40% SR. IV,       203.76,       240.00,-15.1
L,SEC RED NCD 9.00% SR. VII,       367.69,       430.00,-14.49
L,SONAM CLOCK LIMITED,        42.15,        47.60,-11.45
L,VARROC ENGINEERING LTD.,       384.55,       434.15,-11.42
L,SRNCD TR II SR IV,      1680.00,      1850.00,-9.19
L,UNSEC RED NCD 10.5% SR.VI,      1006.00,      1100.00,-8.55
L,SUNDARMAMC - EC1RG,         8.05,         8.80,-8.52
L,ANMOL INDIA LIMITED,       172.90,       187.70,-7.88
L,PNB GILTS LIMITED,        82.55,        88.25,-6.46
L,SARVESHWAR FOODS LIMITED,        25.85,        27.55,-6.17
L,IOL CHEM AND PHARMA LTD,       657.70,       700.85,-6.16
L,ORISSA MIN DEV CO LTD,      3270.35,      3484.20,-6.14
L,JUBILANT PHARMOVA LTD,       786.25,       836.50,-6.01
L,SEC RED NCD 8.65% SR. VI,       400.00,       425.00,-5.88
L,IFGL REFRACTORIES LIMITED,       360.75,       380.70,-5.24
L,INDIABULLS HSG FIN LTD,       247.80,       261.35,-5.18
L,UNIINFOTELECOMSERVILTD,        17.10,        18.00,-5
L,PENTA GOLD LIMITED,        87.40,        92.00,-5
L,TIDE WATER OIL LTD,     11896.40,     12522.50,-5
L,SHREYAS SHIPPING & LOGIST,       201.90,       212.50,-4.99
L,RAVI KUMAR DIST. LTD.,        12.55,        13.20,-4.92
L,SALASAR EXTERIOR CONT LTD,        20.45,        21.50,-4.88
L,MOLD TEK PACKAGING LTD,       332.00,       349.00,-4.87
L,SECUR CREDENTIALS LIMITED,        23.60,        24.80,-4.84
L,UNITED POLYFAB GUJ. LTD.,        11.95,        12.55,-4.78
L,INDOSTAR CAPITAL FIN LTD,       374.20,       392.90,-4.76
L,SERVOTECH POWER SYS LTD.,        18.05,        18.95,-4.75
L,NANDANI CREATION LIMITED,        30.15,        31.60,-4.59
