GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
G,ADANI PORT & SEZ LTD,       878.60,       833.85,5.37
G,POWER GRID CORP. LTD.,       236.25,       226.15,4.47
G,NTPC LTD,       116.40,       111.75,4.16
G,GAIL (INDIA) LTD,       168.35,       162.00,3.92
G,SHREE CEMENT LIMITED,     29155.80,     28153.65,3.56
G,TATA MOTORS LIMITED,       345.50,       334.95,3.15
G,ULTRATECH CEMENT LIMITED,      6849.65,      6664.30,2.78
G,COAL INDIA LTD,       156.25,       153.10,2.06
G,UPL LIMITED,       850.50,       836.25,1.7
G,RELIANCE INDUSTRIES LTD,      2227.40,      2190.50,1.68
G,INDUSIND BANK LIMITED,      1025.20,      1009.30,1.58
G,BRITANNIA INDUSTRIES LTD,      3542.60,      3489.30,1.53
G,TECH MAHINDRA LIMITED,      1034.40,      1019.20,1.49
G,HCL TECHNOLOGIES LTD,       949.60,       936.55,1.39
G,LARSEN & TOUBRO LTD.,      1557.80,      1537.55,1.32
G,WIPRO LTD,       548.25,       541.20,1.3
G,ITC LTD,       211.45,       208.75,1.29
G,TATA CONSULTANCY SERV LT,      3183.20,      3143.75,1.25
G,AXIS BANK LIMITED,       751.10,       742.05,1.22
G,ICICI BANK LTD.,       648.20,       642.70,.86
G,MARUTI SUZUKI INDIA LTD.,      7275.65,      7214.70,.84
G,TATA STEEL LIMITED,      1128.70,      1120.70,.71
G,BHARTI AIRTEL LIMITED,       536.45,       532.70,.7
G,BHARAT PETROLEUM CORP  LT,       481.40,       478.25,.66
G,NESTLE INDIA LIMITED,     17532.55,     17426.80,.61
G,EICHER MOTORS LTD,      2754.45,      2744.60,.36
G,TITAN COMPANY LIMITED,      1685.10,      1679.50,.33
G,INFOSYS LIMITED,      1389.65,      1385.65,.29
G,ASIAN PAINTS LIMITED,      2933.10,      2924.90,.28
G,SUN PHARMACEUTICAL IND L,       675.35,       673.95,.21
 , , , , 
L,BAJAJ FINANCE LIMITED,      5729.75,      5993.45,-4.4
L,BAJAJ FINSERV LTD.,     11828.55,     12155.65,-2.69
L,HDFC LTD,      2585.75,      2619.05,-1.27
L,JSW STEEL LIMITED,       715.75,       721.20,-0.76
L,DIVI'S LABORATORIES LTD,      4229.95,      4261.60,-0.74
L,CIPLA LTD,       939.80,       946.40,-0.7
L,DR. REDDY'S LABORATORIES,      5219.20,      5255.00,-0.68
L,STATE BANK OF INDIA,       432.25,       433.60,-0.31
L,OIL AND NATURAL GAS CORP.,       125.15,       125.45,-0.24
L,GRASIM INDUSTRIES LTD,      1501.00,      1503.25,-0.15
L,HDFC LIFE INS CO LTD,       680.10,       680.90,-0.12
L,HINDUSTAN UNILEVER LTD.,      2339.30,      2342.05,-0.12
L,MAHINDRA & MAHINDRA LTD,       803.85,       804.60,-0.09
L,HDFC BANK LTD,      1499.85,      1500.95,-0.07
L,SBI LIFE INSURANCE CO LTD,       988.50,       989.15,-0.07
L,HINDALCO  INDUSTRIES  LTD,       395.00,       395.05,-0.01
L,BAJAJ AUTO LIMITED,      4249.75,      4250.05,-0.01
 , , , , 
 ,Nifty Next 50 Sec., , , 
 , , , , 
G,POWER FIN CORP LTD.,       125.75,       122.20,2.91
G,AMBUJA CEMENTS LTD,       339.05,       332.05,2.11
G,INFO EDGE (I) LTD,      4661.70,      4571.40,1.98
G,TATA CONSUMER PRODUCT LTD,       699.95,       686.95,1.89
G,HINDUSTAN ZINC LIMITED,       339.85,       333.70,1.84
G,PETRONET LNG LIMITED,       249.35,       244.95,1.8
G,BERGER PAINTS (I) LTD,       810.65,       796.35,1.8
G,ACC LIMITED,      2045.95,      2009.90,1.79
G,PIRAMAL ENTERPRISES LTD,      1960.75,      1928.10,1.69
G,BANDHAN BANK LIMITED,       320.00,       314.85,1.64
G,BANK OF BARODA,        82.90,        81.85,1.28
G,ORACLE FIN SERV SOFT LTD.,      3557.55,      3514.95,1.21
G,BIOCON LIMITED.,       389.05,       384.90,1.08
G,CONTAINER CORP OF IND LTD,       719.70,       713.55,0.86
G,L&T INFOTECH LIMITED,      3889.80,      3856.60,0.86
G,COLGATE PALMOLIVE LTD.,      1710.60,      1696.65,0.82
G,DABUR INDIA LTD,       548.50,       544.05,0.82
G,INDRAPRASTHA GAS LTD,       528.40,       524.20,0.8
G,HINDUSTAN PETROLEUM CORP,       301.10,       298.80,0.77
G,ICICI PRU LIFE INS CO LTD,       582.15,       578.25,0.67
G,UNITED BREWERIES LTD,      1346.05,      1337.10,0.67
G,UNITED SPIRITS LIMITED,       633.35,       629.35,0.64
G,DLF LIMITED,       298.65,       296.95,0.57
