MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,YP,SRTRANSFIN,SEC RED NCD 9.30% SR. II,      1024.00,       976.00,      1030.00,       976.00,      1030.00,                     2006.00,2, ,2,      1049.90,       852.40
N,YQ,SRTRANSFIN,SEC RED NCD 9.40% SR. III,      1055.05,      1056.00,      1056.00,      1056.00,      1056.00,                   105600.00,100, ,1,      1079.80,       992.43
N,YR,SRTRANSFIN,SEC RED NCD 9.50% SR. IV,      1068.00,      1071.00,      1071.00,      1071.00,      1071.00,                     2142.00,2, ,1,      1089.90,       895.20
N,YS,SRTRANSFIN,SEC RED NCD 9.70% SR. V,      1100.00,      1100.00,      1109.00,      1100.00,      1109.00,                   121540.00,110, ,7,      1280.80,       992.00
N,YT,SRTRANSFIN,SEC RED NCD SR. VI,      1256.00,      1255.00,      1256.65,      1255.00,      1256.65,                    32671.25,26, ,2,      1259.99,      1064.11
N,YU,SRTRANSFIN,SEC RED NCD SR. VII,      1292.50,      1262.00,      1298.00,      1262.00,      1290.60,                   132272.60,102, ,6,      1298.00,      1021.00
N,YV,SRTRANSFIN,SEC RED NCD 9.12% SR. I,      1030.00,      1030.00,      1030.00,      1030.00,      1030.00,                   112270.00,109, ,5,      1150.00,       928.00
N,YX,SRTRANSFIN,SEC RED NCD 9.40% SR. III,      1033.53,      1021.11,      1021.11,      1021.11,      1021.11,                   102111.00,100, ,1,      1098.94,       963.50
N,YY,SRTRANSFIN,SEC RED NCD 9.50% SR. IV,      1043.25,      1038.00,      1038.00,      1038.00,      1038.00,                     1038.00,1, ,1,      1235.00,       906.00
N,YZ,SRTRANSFIN,SEC RED NCD 9.70% SR. V,      1070.00,      1088.00,      1088.00,      1088.00,      1088.00,                    21760.00,20, ,1,      1236.00,       922.50
N,Z6,SRTRANSFIN,SEC RED NCD 9.3 SR.IV,      1083.00,      1080.01,      1085.00,      1080.01,      1085.00,                    65050.10,60, ,2,      1212.00,       860.00
N,ZA,SRTRANSFIN,SEC RED NCD SR.VIII,      1184.00,      1185.00,      1188.00,      1185.00,      1186.50,                   118650.00,100, ,2,      1380.50,       822.20
N,ZB,SRTRANSFIN,SEC RED NCD SR.IX,      1170.00,      1175.00,      1175.00,      1175.00,      1175.00,                    58750.00,50, ,1,      1175.00,       850.00
N,ZC,SRTRANSFIN,SEC RED NCD SR.X,      1203.04,      1203.00,      1203.00,      1203.00,      1203.00,                    18045.00,15, ,2,      1300.00,       902.00
N,ZI,SRTRANSFIN,SEC RED NCD 9.10% SR.VI,       984.35,      1033.00,      1033.00,      1033.00,      1033.00,                   516500.00,500, ,15,      1155.00,       840.00
N,ZJ,SRTRANSFIN,SEC RED NCD SR.VII,      1100.39,      1110.00,      1110.00,      1110.00,      1110.00,                     5550.00,5, ,1,      1125.00,       866.00
