MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N3,HUDCO,8.10 NCD 05MAR22 FV 1000,      1047.82,      1051.00,      1051.00,      1048.00,      1048.00,                   366139.00,349, ,9,      1320.00,      1000.00
N,N3,IRFC,7.18 NCD 19FEB23 TR1 SR1,      1096.00,      1096.00,      1096.00,      1096.00,      1096.00,                     5480.00,5, ,1,      1266.00,      1050.00
N,N3,PFC,7.60% TAX FREE NCD,      1345.00,      1343.00,      1346.00,      1343.00,      1346.00,                     2689.00,2, ,2,      1370.00,      1256.10
N,N4,DHANILOANS,DHANI LOANS & SERV LTD,      1030.00,      1030.00,      1030.00,      1005.00,      1015.00,                   128283.80,127, ,5,      1054.80,       750.00
N,N4,DHFL,SEC RED NCD 8.88% SR. 2B,       325.00,       390.00,       390.00,       320.10,       349.80,                   151579.10,459, ,9,       500.00,       200.00
N,N4,IIFCL,8.91% TAX FREE NCD,      1425.00,      1426.01,      1427.00,      1425.00,      1425.96,                   427660.95,300, ,9,      1494.00,      1325.10
N,N4,IIFL,SEC RED NCD 9.75 % SR.III,      1027.90,      1037.00,      1037.00,      1022.00,      1022.00,                  2103833.50,2056, ,54,      1057.80,       980.00
N,N4,IRFC,7.34 NCD 19FEB28 TR1 SR2,      1208.26,      1208.51,      1208.51,      1208.51,      1208.51,                    12085.10,10, ,2,      1296.00,      1153.25
N,N4,NHAI,8.52% TAX FREE TR I S IB,      1172.95,      1173.00,      1173.00,      1138.05,      1141.50,                   491836.60,429, ,12,      1349.00,      1093.10
N,N4,NTPC,8.66%S-R-NCD SERIES 1B,      1146.00,      1146.00,      1146.00,      1145.00,      1145.00,                   188970.00,165, ,3,      1389.00,      1102.18
N,N4,PFC,8.20% TAX FREE NCD,      1078.35,      1077.25,      1082.00,      1077.25,      1078.03,                  1145251.80,1062, ,11,      1200.00,      1045.00
N,N4,RHFL,SEC RED NCD 9.05% SR. II,       208.00,       200.00,       237.00,       190.15,       220.00,                    15104.15,75, ,4,       263.00,       127.00
N,N4,TATACAPHSG,SEC RED NCD 8.01% SR.II,      1086.99,      1088.99,      1088.99,      1088.99,      1088.99,                   119788.90,110, ,2,      1272.00,       955.00
N,N5,ERFLNCDI,SEC RED NCD 8.88% SR. V,       930.00,       921.00,       930.00,       921.00,       930.00,                   111891.00,121, ,9,       940.00,       681.70
N,N5,HUDCO,7.51 NCD 16FEB28 TR1 SR2,      1194.82,      1195.00,      1195.00,      1193.60,      1194.98,                  1978863.80,1656, ,22,      1279.89,      1150.25
N,N5,IRFC,BOND 6.88% PA TAX FREE S1,      1084.00,      1092.75,      1092.75,      1085.00,      1085.01,                   760592.75,701, ,2,      1425.00,      1052.10
N,N5,NHBTF2014,BOND 8.88%PA TF TR-I S 2B,      6618.90,      6474.00,      6474.00,      6474.00,      6474.00,                   990522.00,153, ,2,      8000.00,      6210.00
N,N5,PFC,8.30% TAX FREE NCD,      1252.00,      1253.90,      1255.50,      1251.00,      1255.50,                   269790.00,215, ,4,      1286.85,      1177.10
N,N6,DHANILOANS,DHANI LOANS & SERV LTD,      1000.00,      1010.00,      1010.00,      1010.00,      1010.00,                   101000.00,100, ,4,      1035.00,       760.00
N,N6,DHFL,SEC RED NCD 8.93% SR. 3B,       333.00,       333.00,       344.30,       333.00,       344.30,                   159254.00,463, ,4,       390.00,       181.85
N,N6,EHFLNCD,SEC RED NCD 10% SR. VI,      1027.75,      1029.99,      1029.99,      1021.21,      1022.00,                   828607.70,807, ,11,      1047.50,       562.00
N,N6,ERFLNCDI,SEC RED NCD 9.25% SR. VI,       923.80,       945.00,       945.00,       915.20,       915.20,                   297732.20,320, ,9,       945.00,       610.60
N,N6,HUDCO,BOND 7.03% PA TAX FREE S1,      1348.00,      1347.99,      1347.99,      1078.40,      1078.40,                     2426.39,2, ,2,      1549.99,      1039.60
N,N6,IIFL,UNSEC RED NCD 10.0% SR. V,      1024.00,      1024.00,      1029.99,      1024.00,      1025.00,                    60513.92,59, ,4,      1085.00,       930.00
N,N6,NHAI,8.75% TAX FREE TR I S IIB,      1295.00,      1298.95,      1298.95,      1296.88,      1296.88,                   478743.20,369, ,8,      1406.97,      1247.00
N,N6,NHBTF2014,BOND 9.01%PA TF TR-I S 3B,      7237.00,      7249.00,      7250.00,      7249.00,      7250.00,                    72494.00,10, ,3,      7650.00,      6957.00
N,N6,NHBTF2023,NHB 8.93 NCD TR II SR 2 B,      6503.00,      6511.00,      6511.00,      6510.00,      6510.00,                   208322.00,32, ,3,      6950.00,      6205.00
N,N6,NTPC,8.91%S-R-NCD SERIES 3B,      1437.00,      1439.90,      1439.90,      1436.00,      1436.00,                    34467.90,24, ,3,      1520.01,      1386.00
N,N6,PFC,8.43% TAX FREE NCD,      1150.00,      1161.00,      1161.00,      1161.00,      1161.00,                    17415.00,15, ,1,      1299.00,      1100.00
N,N6,RECLTD,BOND 8.46% TAX FREE S2A,      1329.00,      1285.08,      1288.00,      1285.08,      1288.00,                 53654213.08,41657, ,2,      1518.00,      1215.20
N,N6,RHFL,SEC RED NCD 9.15% SR III,       186.10,       186.00,       223.00,       186.00,       197.00,                    76233.46,358, ,8,       335.90,       140.00
N,N6,TATACAPHSG,SEC RED NCD 8.30% SR.III,      1095.00,      1080.00,      1100.00,      1071.00,      1100.00,                    45143.00,42, ,6,      1300.00,      1031.00
N,N7,EHFLNCD,SEC RED NCD SR. VII,      1363.99,      1363.00,      1363.00,      1363.00,      1363.00,                    68150.00,50, ,1,      1462.00,       793.00
N,N7,IIFL,UNSEC RED NCD 10.5% SR.VI,      1100.00,      1006.00,      1006.00,      1006.00,      1006.00,                  3018000.00,3000, ,1,      1200.00,       931.60
N,N7,MAGMA,SEC RED NCD 10.75% SR.VII,      1021.06,      1022.00,      1199.00,      1000.00,      1132.33,                    94955.25,90, ,6,      1199.00,       950.00
N,N7,NTPC,8.49% SEC NON-CUM RED NCD,        13.72,        13.70,        13.76,        13.70,        13.73,                   978197.33,71261, ,219,        15.20,        12.00
N,N8,DHANILOANS,DHANI LOANS & SERV LTD,      1230.00,      1200.20,      1200.20,      1200.20,      1200.20,                     1200.20,1, ,1,      1284.00,       648.10
N,N8,IBULHSGFIN,SEC RED NCD 8.65% SR. V,       970.00,       970.00,       970.00,       970.00,       970.00,                      970.00,1, ,1,      1069.90,       700.00
N,N8,NHAI,TAX FREE7.39% SR.IB,      1141.00,      1141.00,      1144.00,      1141.00,      1144.00,                    24021.00,21, ,3,      1299.00,      1094.00
N,N8,PFC,8.92% TAX FREE NCD,      1441.52,      1452.00,      1452.00,      1440.00,      1446.99,                   340261.98,236, ,19,      1520.00,      1384.00
N,N8,RECLTD,BOND 8.26% TAX FREE S1B,      1148.00,      1145.00,      1147.90,      1145.00,      1147.90,                  1280234.70,1118, ,4,      1244.00,      1079.20
N,N8,RHFL,UNS RED NCD 9.40% SR. IV,       240.00,       200.00,       204.00,       192.00,       203.76,                   121574.40,630, ,20,       257.00,        98.01
N,N8,TATACAPHSG,SEC RED NCD 8.10% SR.IV,      1076.00,      1080.00,      1080.00,      1080.00,      1080.00,                     3240.00,3, ,1,      1287.00,       950.00
N,N9,HUDCO,7.69% TAX FREETRII SR2B,      1263.61,      1276.00,      1276.00,      1265.01,      1265.01,                   557205.37,437, ,3,      1400.00,      1224.00
