MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty GS 8 13Yr,      2268.84,      2269.23,      2270.30,      2269.10,      2270.09,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 10Yr,      2059.46,      2059.80,      2061.49,      2059.46,      2059.98,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 10Yr Cln,       956.09,       956.09,       956.87,       955.93,       956.17,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 4 8Yr,      2425.62,      2426.00,      2429.14,      2426.00,      2428.96,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 11 15Yr,      2424.33,      2424.78,      2428.43,      2424.78,      2427.93,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 15YrPlus,      2628.84,      2629.33,      2632.45,      2629.33,      2630.61,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS Compsite,      2313.27,      2313.66,      2316.06,      2313.66,      2315.80,0,0,Y, ,0,          .00,          .00
 , , , , , , , , , , ,Y, , , , 
 , , , , , , , , , , ,Y, , , , 
 , , ,NIFTY 50 Sec, , , , , , , ,Y, , , , 
N,EQ,ADANIPORTS,ADANI PORT & SEZ LTD,       833.85,       837.40,       898.80,       835.65,       878.60,              29563619132.40,33684310,Y, ,457825,       898.80,       298.00
N,EQ,ASIANPAINT,ASIAN PAINTS LIMITED,      2924.90,      2930.00,      2941.00,      2903.95,      2933.10,               2343455468.55,802415,Y, ,51994,      2990.00,      1577.50
N,EQ,AXISBANK,AXIS BANK LIMITED,       742.05,       743.10,       753.95,       741.50,       751.10,               5237633523.25,6986728,Y, ,115438,       799.00,       360.40
N,EQ,BAJAJ-AUTO,BAJAJ AUTO LIMITED,      4250.05,      4258.55,      4284.90,      4240.00,      4249.75,                680164137.55,159646,Y, ,14466,      4361.40,      2610.25
N,EQ,BAJAJFINSV,BAJAJ FINSERV LTD.,     12155.65,     11880.00,     12008.80,     11684.65,     11828.55,               6073563243.15,514727,Y, ,63620,     12190.00,      4900.00
N,EQ,BAJFINANCE,BAJAJ FINANCE LIMITED,      5993.45,      5800.00,      5843.85,      5682.45,      5729.75,              16267179803.40,2835805,Y, ,218182,      6010.00,      2199.00
N,EQ,BHARTIARTL,BHARTI AIRTEL LIMITED,       532.70,       534.00,       541.00,       533.00,       536.45,               5105741297.30,9496183,Y, ,125647,       623.00,       394.00
N,EQ,BPCL,BHARAT PETROLEUM CORP  LT,       478.25,       480.80,       485.40,       478.75,       481.40,               3023093623.35,6261695,Y, ,62319,       488.00,       325.00
N,EQ,BRITANNIA,BRITANNIA INDUSTRIES LTD,      3489.30,      3506.50,      3555.00,      3478.50,      3542.60,               1258953823.80,357312,Y, ,29706,      4010.00,      3305.75
N,EQ,CIPLA,CIPLA LTD,       946.40,       951.75,       951.75,       937.55,       939.80,               1908704305.70,2028426,Y, ,41121,       966.35,       616.30
N,EQ,COALINDIA,COAL INDIA LTD,       153.10,       156.00,       158.85,       155.45,       156.25,               4874918155.15,31071589,Y, ,141578,       163.00,       109.55
N,EQ,DIVISLAB,DIVI'S LABORATORIES LTD,      4261.60,      4264.15,      4299.00,      4220.00,      4229.95,               1826620273.90,429298,Y, ,31147,      4299.00,      2090.05
N,EQ,DRREDDY,DR. REDDY'S LABORATORIES,      5255.00,      5261.00,      5273.75,      5212.70,      5219.20,               1903211384.15,363967,Y, ,28908,      5512.65,      3814.00
N,EQ,EICHERMOT,EICHER MOTORS LTD,      2744.60,      2750.25,      2797.90,      2745.10,      2754.45,               1671119220.20,602326,Y, ,46350,     22339.95,      2015.20
N,EQ,GAIL,GAIL (INDIA) LTD,       162.00,       162.50,       169.90,       162.00,       168.35,               5571809625.55,33224231,Y, ,183337,       169.90,        81.20
N,EQ,GRASIM,GRASIM INDUSTRIES LTD,      1503.25,      1518.60,      1530.95,      1495.60,      1501.00,               3776066962.90,2491140,Y, ,75003,      1530.95,       565.00
N,EQ,HCLTECH,HCL TECHNOLOGIES LTD,       936.55,       939.00,       951.95,       937.10,       949.60,               3104553113.10,3282517,Y, ,85146,      1067.00,       545.00
N,EQ,HDFC,HDFC LTD,      2619.05,      2635.00,      2635.40,      2582.00,      2585.75,               5761739654.70,2222082,Y, ,116810,      2896.00,      1623.00
N,EQ,HDFCBANK,HDFC BANK LTD,      1500.95,      1510.00,      1514.00,      1496.00,      1499.85,               6073488211.50,4045834,Y, ,134014,      1641.00,       928.00
N,EQ,HDFCLIFE,HDFC LIFE INS CO LTD,       680.90,       682.30,       684.50,       675.00,       680.10,               1185160359.85,1746210,Y, ,42592,       746.00,       486.25
N,EQ,HEROMOTOCO,HERO MOTOCORP LIMITED,      3048.40,      3065.25,      3076.60,      3040.75,      3052.25,               1871414674.40,612460,Y, ,38155,      3629.05,      2230.70
N,EQ,HINDALCO,HINDALCO  INDUSTRIES  LTD,       395.05,       396.15,       401.40,       394.25,       395.00,               2452275930.05,6176784,Y, ,68864,       427.50,       136.20
N,EQ,HINDUNILVR,HINDUSTAN UNILEVER LTD.,      2342.05,      2354.00,      2354.00,      2331.00,      2339.30,               2637395129.10,1128300,Y, ,78218,      2505.90,      2000.05
N,EQ,ICICIBANK,ICICI BANK LTD.,       642.70,       645.20,       650.00,       644.25,       648.20,               4891650177.25,7556341,Y, ,105578,       679.40,       324.10
N,EQ,INDUSINDBK,INDUSIND BANK LIMITED,      1009.30,      1018.00,      1032.65,      1009.50,      1025.20,               3907085276.20,3823401,Y, ,73337,      1119.50,       444.00
N,EQ,INFY,INFOSYS LIMITED,      1385.65,      1391.00,      1392.00,      1377.30,      1389.65,               7138486995.40,5154576,Y, ,127520,      1477.55,       675.50
N,EQ,IOC,INDIAN OIL CORP LTD,       114.60,       114.85,       115.75,       114.30,       114.70,               2210558671.00,19210364,Y, ,71652,       115.75,        71.65
N,EQ,ITC,ITC LTD,       208.75,       210.40,       212.40,       210.20,       211.45,               6648639468.30,31433280,Y, ,156997,       239.20,       163.35
N,EQ,JSWSTEEL,JSW STEEL LIMITED,       721.20,       722.60,       730.75,       712.80,       715.75,               4965360460.45,6872666,Y, ,84451,       773.00,       175.45
N,EQ,KOTAKBANK,KOTAK MAHINDRA BANK LTD,      1811.20,      1825.00,      1825.00,      1807.00,      1814.90,               1990487467.85,1096139,Y, ,42718,      2049.00,      1228.35
N,EQ,LT,LARSEN & TOUBRO LTD.,      1537.55,      1545.45,      1569.50,      1540.75,      1557.80,               4883699339.15,3131245,Y, ,138266,      1593.00,       843.00
