SYMBOL,SERIES,SECURITY,HIGH/LOW,INDEX FLAG
21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,H
A2ZINFRA,BE,A2Z INFRA ENGINEERING LTD,H
ABAN,EQ,ABAN OFFSHORE LTD.,H
ABINFRA,SM,A B INFRABUILD LIMITED,H
ABMINTLTD,EQ,ABM INTERNATIONAL LTD,H
ACCORD,SM,ACCORD SYNERGY LIMITED,H
ACCURACY,EQ,ACCURACY SHIPPING LIMITED,H
ADANIPOWER,EQ,ADANI POWER LTD,H
ADL,BE,ARCHIDPLY DECOR LIMITED,H
ADROITINFO,EQ,ADROIT INFOTECH LIMITED,H
AGARIND,EQ,AGARWAL INDS CORP LTD.,H
AJOONI,BE,AJOONI BIOTECH LIMITED,H
ALCHEM,BZ,ALCHEMIST LTD,H
ALKALI,EQ,ALKALI METALS LTD,H
ALPSINDUS,EQ,ALPS INDUSTRIES LTD,H
AMBANIORG,SM,AMBANI ORGANICS LIMITED,H
ANDHRACEMT,BE,ANDHRA CEMENTS LIMITED,H
ANIKINDS,EQ,ANIK INDUSTRIES LTD,H
ANKITMETAL,BE,ANKIT MET & POW LTD,H
ANSALAPI,EQ,ANSAL PROP & INFRA LTD,H
ANSALHSG,EQ,ANSAL HOUSING LIMITED,H
ANTGRAPHIC,BE,ANTARCTICA LTD,H
ARCOTECH,BZ,ARCOTECH LIMITED,H
ARENTERP,EQ,RAJDARSHAN INDUSTRIES LTD,H
ARIHANT,EQ,ARIHANT FOUN & HOU LTD,H
ARIHANTSUP,BE,ARIHANT SUPERSTRUCT LTD,H
ARROWGREEN,BE,ARROW GREENTECH LIMITED,H
ARTEMISMED,BE,ARTEMIS MED SERVICE LTD,H
ARVEE,BE,ARVEE LABORATORIES I LTD,H
ASAL,EQ,AUTOMOTIVE STAMPINGS & AS,H
ATLANTA,EQ,ATLANTA LIMITED,H
ATLASCYCLE,BZ,ATLAS CYCLE (HARYANA) LTD,H
ATNINTER,BE,ATN INTERNATIONAL LTD,H
AUTOIND,EQ,AUTOLINE INDUSTRIES LTD,H
