SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
BE,LXCHEM,Laxmi Organic Indus Ltd,15/07/2021, , ,14/07/2021, , ,DIV - RS 0.50 PER SH     
BE,HUHTAMAKI,Huhtamaki India Limited, ,11/06/2021,22/06/2021,09/06/2021, , ,AGM/DIV - RS 3 PER SH    
BE,ICRA,ICRA Limited, ,24/07/2021,28/07/2021,22/07/2021, , ,DIV - RS 27 PER SH       
BE,GRINDWELL,Grindwell Norton Limited, ,22/07/2021,28/07/2021,19/07/2021, , ,AGM/DIV - RS 9.50 PER SH 
BE,NILKAMAL,Nilkamal Limited, ,29/07/2021,04/08/2021,27/07/2021, , ,AGM/DIV - RS 10 PER SH   
BE,JSWHL,JSW Holdings Limited, ,23/06/2021,24/06/2021,21/06/2021, , ,ANNUAL GENERAL MEETING   
BE,PTL,PTL Enterprises Limited, ,05/07/2021,15/07/2021,01/07/2021, , ,AGM/DIV - RS 2.50 PER SH 
BE,NAVINFLUOR,Navin Fluorine Internatio, ,13/07/2021,16/07/2021,09/07/2021, , ,DIV - RS 6 PER SH        
BE,APCOTEXIND,Apcotex Industries Ltd., ,03/07/2021,08/07/2021,01/07/2021, , ,AGM/DIV - RS 2 PER SH    
BE,TORNTPOWER,Torrent Power Limited,25/06/2021, , ,24/06/2021, , ,DIV - RS 5.50 PER SH     
BE,INDIANB,Indian Bank,09/07/2021, , ,08/07/2021, , ,AGM/DIV - RS 2 PER SH    
BE,COLPAL,Colgate Palmolive (India), ,23/07/2021,29/07/2021,20/07/2021, , ,ANNUAL GENERAL MEETING   
BE,SUBEXLTD,Subex Ltd,02/07/2021, , ,01/07/2021, , ,AGM/DIV - RS 0.25 PER SH 
BE,JYOTHYLAB,Jyothy Labs Limited, ,23/07/2021,30/07/2021,20/07/2021, , ,AGM/DIV - RS 4 PER SH    
BE,RANEENGINE,Rane Engine Valve Limited,15/07/2021, , ,14/07/2021, , ,ANNUAL GENERAL MEETING   
BE,ZYDUSWELL,Zydus Wellness Limited, ,16/07/2021,23/07/2021,14/07/2021, , ,AGM/DIV - RS 5 PER SH    
BE,ASTEC,Astec LifeSciences Ltd, ,24/07/2021,27/07/2021,22/07/2021, , ,AGM/DIV - RS 1.50 PER SH 
BE,BOSCHLTD,Bosch Limited, ,14/07/2021,05/08/2021,12/07/2021, , ,AGM/DIV - RS 115 PER SH  
BE,ABBOTINDIA,Abbott India Limited, ,21/07/2021,27/07/2021,19/07/2021, , ,AGM/DIVRS120SPLDIVRS155  
BE,BAJAJHLDNG,Bajaj Holdings & Invs Ltd, ,10/07/2021,22/07/2021,08/07/2021, , ,AGM/DIV - RS 40 PER SH   
