COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
COFORGE,2021-07-01,4159.9,4205.1,4106.5,4201.0,4193.6
COFORGE,2021-07-02,4195.0,4256.0,4090.05,4183.0,4196.95
COFORGE,2021-07-05,4201.0,4279.0,4180.05,4220.0,4219.2
COFORGE,2021-07-06,4235.0,4238.0,4134.05,4193.0,4193.15
COFORGE,2021-07-07,4190.0,4259.0,4120.05,4246.75,4245.05
COFORGE,2021-07-08,4217.0,4520.15,4215.0,4483.7,4464.6
COFORGE,2021-07-09,4449.0,4479.0,4295.0,4355.0,4356.55
COFORGE,2021-07-12,4360.0,4409.85,4313.0,4390.9,4388.25
COFORGE,2021-07-13,4400.0,4419.75,4300.0,4335.0,4320.35
COFORGE,2021-07-14,4339.45,4558.8,4339.0,4529.85,4534.7
COFORGE,2021-07-15,4544.4,4610.0,4488.95,4570.05,4589.6
COFORGE,2021-07-16,4575.8,4582.0,4500.5,4549.8,4547.75
COFORGE,2021-07-19,4539.95,4663.0,4505.0,4550.0,4544.45
COFORGE,2021-07-20,4567.0,4578.7,4474.45,4525.0,4541.3
COFORGE,2021-07-20,4567.0,4578.7,4474.45,4525.0,4541.3
COFORGE,2021-07-22,4558.85,4690.0,4555.0,4667.0,4663.2
COFORGE,2021-07-23,4678.0,4767.3,4671.3,4685.0,4688.45
COFORGE,2021-07-26,4686.0,4759.9,4680.0,4725.0,4717.55
COFORGE,2021-07-27,4745.0,4759.0,4685.0,4715.0,4723.4
COFORGE,2021-07-28,4725.0,4849.9,4563.6,4749.0,4742.95
