COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
ACRYSIL,2021-07-01,620.0,639.9,615.0,621.95,622.95
ACRYSIL,2021-07-02,626.0,640.0,621.2,622.0,625.45
ACRYSIL,2021-07-05,634.85,637.9,616.05,622.0,623.0
ACRYSIL,2021-07-06,632.0,632.45,615.0,620.05,617.6
ACRYSIL,2021-07-07,619.0,628.0,611.0,617.0,616.85
ACRYSIL,2021-07-08,619.5,630.5,611.55,615.0,616.85
ACRYSIL,2021-07-09,623.95,623.95,594.7,602.0,599.45
ACRYSIL,2021-07-12,606.95,620.0,595.0,619.0,614.95
ACRYSIL,2021-07-13,622.95,628.0,601.9,606.0,607.75
ACRYSIL,2021-07-14,608.85,627.0,608.85,620.0,618.3
ACRYSIL,2021-07-15,616.0,625.0,607.5,611.0,611.45
ACRYSIL,2021-07-16,615.0,618.0,605.55,610.0,612.15
ACRYSIL,2021-07-19,606.3,611.1,601.1,605.0,602.35
ACRYSIL,2021-07-20,605.0,617.3,575.0,590.0,585.25
ACRYSIL,2021-07-20,605.0,617.3,575.0,590.0,585.25
ACRYSIL,2021-07-22,594.4,610.0,592.6,608.4,604.05
ACRYSIL,2021-07-23,605.1,615.95,600.0,602.3,602.2
ACRYSIL,2021-07-26,605.1,605.1,585.0,590.0,589.8
ACRYSIL,2021-07-27,585.0,595.85,581.0,585.95,583.6
ACRYSIL,2021-07-28,586.85,641.95,574.7,641.95,639.35
