COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
SHREECEM,2021-07-01,27600.0,27600.2,26946.0,27207.0,27059.95
SHREECEM,2021-07-02,27280.0,27280.0,26840.05,27050.0,27014.9
SHREECEM,2021-07-05,27190.0,27250.0,26950.0,27000.0,26987.6
SHREECEM,2021-07-06,27179.2,27925.0,27000.0,27800.0,27769.1
SHREECEM,2021-07-07,27705.0,28114.1,27169.45,27610.0,27547.0
SHREECEM,2021-07-08,27690.0,28090.0,27441.7,27500.0,27581.8
SHREECEM,2021-07-09,27511.05,27632.75,27230.0,27523.0,27502.75
SHREECEM,2021-07-12,27698.5,28419.0,27584.05,28022.05,28034.95
SHREECEM,2021-07-13,28150.0,28413.3,27800.0,28050.0,28070.4
SHREECEM,2021-07-14,28000.0,28490.0,27860.25,28370.0,28414.7
SHREECEM,2021-07-15,28414.7,28580.0,28251.3,28435.0,28427.45
SHREECEM,2021-07-16,28427.45,28500.0,28000.0,28070.0,28096.15
SHREECEM,2021-07-19,28050.0,28108.1,27817.1,28099.95,27996.85
SHREECEM,2021-07-20,28099.9,28555.0,28000.0,28025.0,28082.9
SHREECEM,2021-07-20,28099.9,28555.0,28000.0,28025.0,28082.9
SHREECEM,2021-07-22,28150.0,28226.25,27915.0,28066.0,28080.0
SHREECEM,2021-07-23,28085.1,28227.65,27855.2,27913.0,27986.4
SHREECEM,2021-07-26,27900.0,28228.35,27812.05,27912.0,27968.3
SHREECEM,2021-07-27,28000.0,28473.0,27751.3,27824.0,27865.15
SHREECEM,2021-07-28,27990.0,27996.9,27162.8,27499.0,27491.45
