SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS,EQ,2021-06-14,68.5,68.5,68.9,63.7,67.5,66.95,66.41,292224,194.07,3254,150619,51.54
21STCENMGM,EQ,2021-06-14,17.75,18.1,18.1,18.1,18.1,18.1,18.1,6411,1.16,21,6411,100.00
3MINDIA,EQ,2021-06-14,26153.1,25981.0,26623.85,25799.05,25900.0,25883.35,26108.9,3573,932.87,2214,1736,48.59
3PLAND,EQ,2021-06-14,13.9,14.1,14.1,13.6,14.0,14.0,13.96,56241,7.85,206,47660,84.74
5PAISA,EQ,2021-06-14,379.9,394.5,398.85,389.9,398.85,398.85,396.7,108710,431.25,2390,74147,68.21
AAKASH,EQ,2021-06-14,172.75,168.85,182.45,168.85,177.0,176.0,173.42,56126,97.33,497,18498,32.96
AARTIDRUGS,EQ,2021-06-14,732.85,732.85,734.5,720.25,725.2,725.9,724.82,308300,2234.63,21189,163422,53.01
AARTIIND,EQ,2021-06-14,1815.55,1830.0,1854.75,1788.0,1838.4,1842.0,1836.16,908774,16686.55,45084,244397,26.89
AARTISURF,EQ,2021-06-14,1383.6,1399.95,1400.0,1370.0,1385.0,1379.0,1381.98,24487,338.41,3253,13908,56.80
AARVI,EQ,2021-06-14,69.15,69.0,70.0,66.65,67.0,67.55,67.96,43006,29.23,743,30439,70.78
AAVAS,EQ,2021-06-14,2517.45,2525.0,2575.0,2471.05,2508.0,2520.55,2540.57,52700,1338.88,8669,16249,30.83
ABAN,EQ,2021-06-14,48.6,50.65,50.65,46.3,47.8,47.8,47.63,315748,150.39,2765,174047,55.12
ABB,EQ,2021-06-14,1648.55,1659.0,1672.3,1601.0,1660.0,1660.6,1646.43,124292,2046.38,7640,39487,31.77
ABBOTINDIA,EQ,2021-06-14,16327.3,16400.0,16554.75,16137.05,16260.25,16290.7,16360.8,30110,4926.24,5294,20363,67.63
ABCAPITAL,EQ,2021-06-14,125.3,125.5,125.5,122.25,123.9,123.7,123.67,1909555,2361.5,13274,732507,38.36
ABFRL,EQ,2021-06-14,207.9,207.85,208.0,201.5,206.4,205.85,204.73,1573182,3220.78,12308,534128,33.95
ABMINTLTD,EQ,2021-06-14,71.75,72.0,72.0,68.2,68.2,68.55,69.02,1892,1.31,61,1180,62.37
ABSLBANETF,EQ,2021-06-14,347.83,344.85,351.15,341.0,347.05,347.04,343.61,897,3.08,114,222,24.75
ABSLNN50ET,EQ,2021-06-14,399.6,393.0,403.0,389.95,395.0,394.75,396.46,170,0.67,36,131,77.06
ACC,EQ,2021-06-14,2024.5,2022.0,2043.5,1990.05,2038.0,2040.55,2028.43,262106,5316.63,14361,49377,18.84
ACCELYA,EQ,2021-06-14,1206.9,1214.8,1229.8,1165.95,1190.0,1188.35,1201.12,395925,4755.52,17306,178752,45.15
ACCURACY,EQ,2021-06-14,83.45,83.15,85.0,80.4,84.95,84.9,82.3,24865,20.46,327,18608,74.84
ACE,EQ,2021-06-14,195.75,201.4,212.05,196.2,208.0,206.45,206.17,4217509,8695.39,56165,1268552,30.08
ACRYSIL,EQ,2021-06-14,540.85,540.85,549.7,520.0,535.0,534.75,539.15,168516,908.55,8651,61326,36.39
ADANIENT,EQ,2021-06-14,1601.6,1441.45,1529.95,1201.2,1510.35,1501.45,1372.66,43530006,597516.85,1125572,3193722,7.34
ADANIPORTS,EQ,2021-06-14,839.75,755.8,783.7,681.1,762.0,768.45,729.9,89771631,655243.69,1357995,15189854,16.92
ADFFOODS,EQ,2021-06-14,992.05,997.0,1000.9,970.0,980.5,981.85,981.47,39458,387.27,3595,16642,42.18
ADORWELD,EQ,2021-06-14,612.05,610.0,610.0,580.0,602.0,602.55,597.79,67369,402.72,3334,49187,73.01
ADROITINFO,EQ,2021-06-14,10.95,11.2,11.45,10.95,11.0,11.15,11.2,26783,3.0,219,17417,65.03
ADSL,EQ,2021-06-14,61.3,61.95,62.0,58.25,60.55,60.55,59.89,172003,103.0,1570,113244,65.84
ADVANIHOTR,EQ,2021-06-14,65.55,68.0,68.5,64.5,67.1,66.3,65.7,15381,10.11,513,7761,50.46
ADVENZYMES,EQ,2021-06-14,413.8,415.0,418.0,401.25,411.9,411.45,410.77,214615,881.56,7782,82874,38.62
AEGISCHEM,EQ,2021-06-14,380.75,380.0,381.85,361.55,365.3,365.0,366.07,651162,2383.72,16378,308284,47.34
AGARIND,EQ,2021-06-14,244.65,248.95,265.0,235.25,265.0,263.55,256.8,103258,265.17,2687,54714,52.99
