SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS,EQ,2021-06-03,60.7,62.25,64.35,61.1,62.4,62.55,62.8,402397,252.71,3151,201977,50.19
21STCENMGM,EQ,2021-06-03,15.65,15.95,15.95,15.95,15.95,15.95,15.95,949,0.15,10,949,100.00
3IINFOTECH,EQ,2021-06-03,9.2,9.2,9.25,8.9,8.95,8.95,9.03,17825704,1609.13,16732,12357404,69.32
3MINDIA,EQ,2021-06-03,25967.2,25967.2,26300.0,25900.0,26251.0,26261.8,26136.69,2713,709.09,1635,1416,52.19
3PLAND,EQ,2021-06-03,13.5,14.0,14.1,13.4,14.0,13.95,13.87,19728,2.74,164,13131,66.56
5PAISA,EQ,2021-06-03,352.6,358.0,387.85,350.0,387.85,387.85,376.79,217917,821.09,5132,138822,63.70
AAKASH,EQ,2021-06-03,162.7,163.0,164.0,162.05,164.0,163.15,162.77,45916,74.74,321,17975,39.15
AARTIDRUGS,EQ,2021-06-03,761.1,767.45,769.2,756.1,759.0,758.1,761.72,341139,2598.53,11959,130237,38.18
AARTIIND,EQ,2021-06-03,1669.6,1682.75,1684.1,1665.1,1678.0,1673.9,1673.44,365353,6113.98,17872,169016,46.26
AARTISURF,EQ,2021-06-03,1432.4,1432.4,1447.85,1414.0,1419.0,1419.15,1426.66,13242,188.92,1611,8533,64.44
AARVI,EQ,2021-06-03,67.7,69.5,70.0,66.65,68.6,68.65,68.72,61174,42.04,667,34963,57.15
AAVAS,EQ,2021-06-03,2297.6,2320.0,2329.0,2294.65,2304.3,2304.3,2318.59,48263,1119.02,4173,34557,71.60
ABAN,EQ,2021-06-03,37.1,38.0,38.95,36.3,38.95,38.95,38.45,485420,186.63,2358,342913,70.64
ABB,EQ,2021-06-03,1700.55,1711.0,1717.45,1681.0,1689.95,1691.95,1701.58,146129,2486.5,10189,61711,42.23
ABBOTINDIA,EQ,2021-06-03,15988.3,15988.3,16160.0,15905.0,15975.0,15964.7,15962.07,41595,6639.42,3446,32096,77.16
ABCAPITAL,EQ,2021-06-03,122.9,124.0,126.0,123.3,123.8,124.1,124.55,3371895,4199.71,23372,1560507,46.28
ABFRL,EQ,2021-06-03,198.75,200.0,200.85,195.35,196.3,197.15,198.48,1653797,3282.51,15024,755413,45.68
ABMINTLTD,EQ,2021-06-03,58.85,58.5,61.75,57.05,58.3,60.3,60.47,3895,2.36,170,1947,49.99
ABSLBANETF,EQ,2021-06-03,351.32,352.92,354.13,351.92,353.79,353.89,353.11,200326,707.37,355,200147,99.91
ABSLNN50ET,EQ,2021-06-03,385.95,386.0,392.0,386.0,392.0,392.0,391.83,113,0.44,16,54,47.79
ACC,EQ,2021-06-03,1997.1,1999.15,2030.0,1999.15,2024.0,2027.35,2019.38,571072,11532.12,24694,197183,34.53
ACCELYA,EQ,2021-06-03,1029.3,1034.4,1042.05,1011.0,1015.0,1019.25,1021.37,16244,165.91,2765,7813,48.10
ACCURACY,EQ,2021-06-03,60.3,61.0,61.0,59.55,60.25,60.35,60.36,3539,2.14,64,2955,83.50
ACE,EQ,2021-06-03,166.85,168.15,169.9,164.2,165.1,164.85,166.76,291548,486.2,5036,173291,59.44
ACRYSIL,EQ,2021-06-03,538.4,542.0,573.0,542.0,550.0,548.4,556.05,268283,1491.8,9755,159368,59.40
ADANIENT,EQ,2021-06-03,1546.75,1564.0,1623.8,1553.0,1592.4,1583.1,1594.1,19107244,304588.94,433658,1019716,5.34
ADANIGREEN,EQ,2021-06-03,1299.8,1323.0,1323.0,1281.1,1288.0,1286.9,1292.55,1190736,15390.81,43338,654391,54.96
ADANIPORTS,EQ,2021-06-03,811.5,818.85,849.0,810.7,824.9,825.3,829.64,24105079,199986.24,351421,2706236,11.23
ADANIPOWER,EQ,2021-06-03,96.4,97.5,101.2,97.0,101.2,100.75,99.98,50469406,50458.23,139435,18472515,36.60
ADANITRANS,EQ,2021-06-03,1558.25,1581.3,1630.0,1540.0,1585.0,1577.9,1589.04,1519353,24143.09,46133,684596,45.06
ADFFOODS,EQ,2021-06-03,994.35,1014.0,1016.0,992.4,1005.0,1005.45,1003.81,28750,288.6,2321,15345,53.37
ADORWELD,EQ,2021-06-03,489.2,480.0,541.45,480.0,518.55,521.4,517.1,497546,2572.8,15787,137797,27.70
ADROITINFO,EQ,2021-06-03,8.95,9.0,9.25,8.95,9.0,9.1,9.0,12740,1.15,67,12415,97.45
ADSL,EQ,2021-06-03,65.55,66.9,67.65,62.3,62.3,62.35,63.54,1098665,698.13,6294,607898,55.33
ADVANIHOTR,EQ,2021-06-03,65.2,66.5,66.5,62.1,63.35,63.45,63.36,35184,22.29,491,16269,46.24
ADVENZYMES,EQ,2021-06-03,414.75,418.0,424.0,415.0,417.0,416.0,419.59,403406,1692.66,16737,207233,51.37
AEGISCHEM,EQ,2021-06-03,374.6,376.6,381.55,368.1,374.0,374.75,376.44,1291128,4860.28,22686,263489,20.41
AFFLE,EQ,2021-06-03,5266.5,5275.0,5548.0,5275.0,5388.95,5377.9,5405.36,140983,7620.64,23156,52434,37.19
AGARIND,EQ,2021-06-03,207.6,211.0,213.9,208.85,213.9,212.1,212.17,27287,57.89,538,19638,71.97
AGCNET,EQ,2021-06-03,1406.5,1428.0,1428.0,1367.0,1404.0,1404.0,1396.64,4878,68.13,509,2915,59.76
AGRITECH,EQ,2021-06-03,44.3,44.0,46.5,43.95,46.5,46.5,46.39,35445,16.44,208,32545,91.82
AGROPHOS,EQ,2021-06-03,13.6,13.8,14.1,13.5,13.85,13.8,13.73,291440,40.01,1129,65719,22.55
AHLADA,EQ,2021-06-03,111.55,113.05,114.95,111.95,114.3,113.95,113.44,9672,10.97,109,8896,91.98
AHLEAST,EQ,2021-06-03,181.15,178.75,204.0,178.7,194.95,196.6,196.51,93375,183.49,1608,25813,27.64
AHLUCONT,EQ,2021-06-03,321.35,323.0,329.1,315.0,315.0,317.1,322.02,20990,67.59,1355,13052,62.18
AHLWEST,EQ,2021-06-03,225.05,228.95,245.0,223.05,238.0,239.4,237.53,85061,202.04,2287,30822,36.24
AIAENG,EQ,2021-06-03,1934.7,1944.0,1959.95,1931.15,1940.0,1949.1,1947.46,22918,446.32,3181,12423,54.21
AIRAN,EQ,2021-06-03,20.2,20.2,22.2,20.1,22.2,22.15,21.89,366769,80.28,1289,229849,62.67
AJANTPHARM,EQ,2021-06-03,1959.35,1972.0,1972.0,1926.0,1933.9,1929.8,1939.05,60965,1182.14,7843,29419,48.26
AJMERA,EQ,2021-06-03,149.15,152.0,158.0,149.55,150.0,150.4,154.44,687162,1061.25,12697,223669,32.55
AKASH,EQ,2021-06-03,210.85,218.1,229.9,212.5,225.0,226.1,223.69,19907,44.53,690,10144,50.96
AKG,EQ,2021-06-03,27.15,26.0,27.8,26.0,27.0,27.0,26.83,2649,0.71,42,2431,91.77
AKSHARCHEM,EQ,2021-06-03,299.4,298.0,302.95,295.6,296.0,297.45,297.98,19300,57.51,957,10635,55.10
AKZOINDIA,EQ,2021-06-03,2283.7,2288.35,2297.7,2265.45,2271.0,2269.4,2275.07,8370,190.42,1501,5246,62.68
ALANKIT,EQ,2021-06-03,17.95,18.3,18.35,17.6,18.0,17.95,17.98,148436,26.69,877,104323,70.28
ALBERTDAVD,EQ,2021-06-03,467.5,473.0,477.7,466.0,471.0,467.9,471.28,18554,87.44,1263,10976,59.16
ALEMBICLTD,EQ,2021-06-03,124.7,125.05,127.65,125.05,126.2,126.3,126.57,558252,706.6,5966,223578,40.05
ALICON,EQ,2021-06-03,559.05,562.65,563.0,539.0,553.85,556.75,554.39,8386,46.49,664,5250,62.60
ALKALI,EQ,2021-06-03,64.75,64.45,65.6,62.15,63.5,63.3,63.87,51922,33.16,1396,27411,52.79
ALKEM,EQ,2021-06-03,3155.8,3160.25,3215.0,3118.4,3180.0,3178.45,3183.73,426612,13582.15,23917,157549,36.93
ALKYLAMINE,EQ,2021-06-03,3582.35,3600.0,3642.35,3575.0,3593.5,3592.4,3600.55,56599,2037.88,9769,29639,52.37
ALLCARGO,EQ,2021-06-03,132.75,133.95,134.4,131.7,134.05,133.8,133.25,389771,519.37,3751,216989,55.67
ALLSEC,EQ,2021-06-03,371.8,378.1,399.6,374.0,392.05,391.55,387.56,28731,111.35,1334,20614,71.75
ALMONDZ,EQ,2021-06-03,43.1,45.25,45.25,44.6,45.25,45.2,45.14,39263,17.72,245,35383,90.12
ALOKINDS,EQ,2021-06-03,20.5,20.6,21.4,20.6,20.85,20.75,20.94,13244168,2773.04,13343,4490473,33.91
ALPHAGEO,EQ,2021-06-03,285.45,298.0,309.9,282.1,287.8,285.5,296.59,537860,1595.24,12774,226058,42.03
ALPSINDUS,EQ,2021-06-03,2.0,2.1,2.1,2.0,2.05,2.05,2.08,34034,0.71,311,30690,90.17
AMARAJABAT,EQ,2021-06-03,741.35,744.5,756.9,741.55,753.3,752.8,751.64,2787636,20952.95,59889,1267572,45.47
AMBER,EQ,2021-06-03,2760.2,2781.9,2799.9,2742.65,2787.0,2788.0,2773.96,199425,5531.96,15173,135794,68.09
AMBICAAGAR,EQ,2021-06-03,23.95,23.95,24.3,23.05,23.25,23.4,23.49,68402,16.07,376,42418,62.01
AMBIKCO,EQ,2021-06-03,1216.8,1246.9,1324.0,1234.9,1292.0,1292.45,1289.91,295769,3815.16,24205,98699,33.37
AMBUJACEM,EQ,2021-06-03,331.1,332.1,336.0,331.4,333.2,333.95,333.95,3322366,11095.0,31948,1273628,38.33
AMDIND,EQ,2021-06-03,21.0,21.8,21.8,20.55,20.95,21.1,21.21,23108,4.9,206,10996,47.59
AMJLAND,EQ,2021-06-03,26.85,26.65,28.35,26.65,27.3,27.45,27.65,44477,12.3,284,23470,52.77
AMRUTANJAN,EQ,2021-06-03,689.85,698.7,708.9,688.55,697.95,695.25,696.17,86036,598.96,4981,36509,42.43
ANANTRAJ,EQ,2021-06-03,60.3,60.1,63.3,59.75,63.0,63.1,62.39,2518142,1571.06,6265,1447623,57.49
ANDHRAPAP,EQ,2021-06-03,233.2,237.8,243.4,234.85,242.75,242.15,240.09,105550,253.41,2677,54855,51.97
ANDHRSUGAR,EQ,2021-06-03,418.2,425.0,448.8,420.45,422.7,423.45,426.6,136472,582.19,5597,57656,42.25
ANGELBRKG,EQ,2021-06-03,757.5,763.0,795.35,761.3,795.35,795.35,783.42,590878,4629.05,15421,307520,52.04
ANIKINDS,EQ,2021-06-03,17.95,17.9,18.8,17.9,18.8,18.8,18.61,128147,23.84,390,103223,80.55
ANSALAPI,EQ,2021-06-03,6.25,6.3,6.55,6.3,6.55,6.55,6.51,214413,13.95,224,192772,89.91
ANSALHSG,EQ,2021-06-03,6.55,6.8,7.2,6.55,7.2,7.2,7.13,236688,16.88,299,172998,73.09
ANUP,EQ,2021-06-03,888.25,950.0,974.0,916.0,917.5,924.2,943.19,593446,5597.31,26634,290818,49.00
ANURAS,EQ,2021-06-03,733.75,739.9,783.85,739.9,775.0,774.95,770.25,447534,3447.13,18516,227957,50.94
APARINDS,EQ,2021-06-03,536.2,539.0,551.7,538.95,546.5,547.6,546.59,91966,502.68,4862,55587,60.44
APCL,EQ,2021-06-03,310.05,310.05,325.0,306.85,318.7,316.0,316.4,210331,665.49,5704,97349,46.28
APCOTEXIND,EQ,2021-06-03,319.05,321.65,350.0,321.65,330.45,327.45,335.84,229845,771.91,7700,99247,43.18
APEX,EQ,2021-06-03,281.6,283.85,287.35,275.8,277.9,277.5,281.35,215248,605.6,6173,98806,45.90
APLAPOLLO,EQ,2021-06-03,1271.9,1285.0,1355.0,1285.0,1330.0,1334.35,1323.94,613686,8124.85,25234,252955,41.22
APLLTD,EQ,2021-06-03,951.25,953.8,967.0,951.65,955.95,953.8,958.49,214729,2058.15,7317,90457,42.13
APOLLO,EQ,2021-06-03,110.35,111.9,112.7,110.85,111.35,111.35,111.85,123650,138.3,2635,68661,55.53
APOLLOHOSP,EQ,2021-06-03,3273.6,3271.0,3435.0,3267.05,3420.0,3425.65,3380.29,1098294,37125.51,64727,293785,26.75
