SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS,EQ,2021-06-10,62.65,64.0,66.5,63.6,65.2,65.1,65.17,331271,215.89,4351,175360,52.94
21STCENMGM,EQ,2021-06-10,17.15,17.25,17.45,17.25,17.45,17.45,17.45,773,0.13,8,773,100.00
3MINDIA,EQ,2021-06-10,25780.75,25974.0,26073.7,25820.0,26010.0,26023.65,25997.48,2925,760.43,866,1433,48.99
3PLAND,EQ,2021-06-10,13.4,14.0,14.0,13.5,13.55,13.55,13.7,14411,1.97,132,10734,74.48
5PAISA,EQ,2021-06-10,375.85,379.65,387.15,367.45,375.8,374.35,376.91,60198,226.89,2167,27431,45.57
AAKASH,EQ,2021-06-10,167.75,167.0,169.8,166.25,169.8,169.1,168.27,51454,86.58,393,12845,24.96
AARTIDRUGS,EQ,2021-06-10,736.3,737.9,743.55,733.75,734.0,734.9,736.92,284287,2094.96,12622,119721,42.11
AARTIIND,EQ,2021-06-10,1813.45,1839.95,1839.95,1805.75,1830.5,1827.8,1826.06,749809,13692.0,38632,219184,29.23
AARTISURF,EQ,2021-06-10,1382.25,1386.05,1415.0,1369.9,1381.0,1374.9,1388.81,33450,464.56,4259,18664,55.80
AARVI,EQ,2021-06-10,69.1,69.1,70.65,67.5,69.1,68.7,69.02,36394,25.12,559,26795,73.62
AAVAS,EQ,2021-06-10,2366.7,2372.0,2495.0,2372.0,2450.15,2478.25,2462.46,67270,1656.5,6726,37904,56.35
ABAN,EQ,2021-06-10,50.15,50.95,51.8,48.2,48.8,49.05,49.98,487177,243.47,3993,273941,56.23
ABB,EQ,2021-06-10,1674.85,1680.0,1690.0,1660.0,1676.65,1671.35,1673.4,87950,1471.76,7078,39037,44.39
ABBOTINDIA,EQ,2021-06-10,16076.95,16200.0,16247.9,16076.95,16076.95,16106.15,16156.08,14674,2370.74,2915,9639,65.69
