SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS,EQ,2021-06-01,64.1,65.95,65.95,58.75,59.45,59.35,60.35,456527,275.5,4260,259809,56.91
21STCENMGM,EQ,2021-06-01,15.1,15.4,15.4,15.2,15.25,15.35,15.36,3436,0.53,33,3318,96.57
3IINFOTECH,EQ,2021-06-01,8.75,8.8,9.1,8.45,8.9,8.9,8.8,28218389,2482.07,22567,13352209,47.32
3MINDIA,EQ,2021-06-01,25536.15,25700.0,25847.2,25358.25,25499.0,25484.0,25548.34,2902,741.41,1813,1284,44.25
3PLAND,EQ,2021-06-01,14.05,14.05,14.5,13.5,13.95,13.75,13.87,13543,1.88,128,9008,66.51
5PAISA,EQ,2021-06-01,350.85,353.0,353.0,346.0,347.0,346.55,347.76,24384,84.8,724,11584,47.51
AAKASH,EQ,2021-06-01,160.25,160.95,162.45,158.85,162.4,161.85,160.76,49838,80.12,648,18140,36.40
AARTIDRUGS,EQ,2021-06-01,727.35,730.0,747.2,720.6,737.0,736.6,732.89,508402,3726.02,18512,162189,31.90
AARTIIND,EQ,2021-06-01,1677.4,1682.75,1744.65,1676.05,1714.0,1710.8,1720.49,1503711,25871.27,71557,367766,24.46
AARTISURF,EQ,2021-06-01,1432.15,1413.15,1452.0,1411.0,1415.1,1414.8,1420.16,18509,262.86,1877,10900,58.89
AARVI,EQ,2021-06-01,69.45,72.5,72.5,67.45,68.0,67.85,68.72,61662,42.37,702,43984,71.33
AAVAS,EQ,2021-06-01,2302.7,2294.9,2314.25,2256.0,2275.0,2273.75,2285.12,140245,3204.77,9520,107568,76.70
ABAN,EQ,2021-06-01,35.65,35.9,36.75,35.1,35.5,35.35,35.93,144286,51.84,1427,87673,60.76
ABB,EQ,2021-06-01,1668.85,1685.0,1754.0,1651.0,1696.0,1693.25,1696.62,717658,12175.9,44672,157902,22.00
ABBOTINDIA,EQ,2021-06-01,16029.05,16057.85,16100.0,15903.0,15950.0,15958.15,15985.87,18590,2971.77,2933,14692,79.03
ABCAPITAL,EQ,2021-06-01,121.15,121.8,123.75,118.15,118.65,118.65,120.33,2702652,3252.17,21895,1098228,40.64
ABFRL,EQ,2021-06-01,195.15,198.0,200.0,193.65,197.4,197.55,197.33,3952703,7799.81,38111,1228778,31.09
ABMINTLTD,EQ,2021-06-01,62.55,62.9,62.9,59.5,59.5,59.8,61.37,1019,0.63,48,546,53.58
ABSLBANETF,EQ,2021-06-01,352.55,357.0,357.0,346.29,351.4,351.26,350.84,480,1.68,70,416,86.67
ABSLNN50ET,EQ,2021-06-01,381.5,381.5,384.5,381.5,384.5,384.47,384.34,76,0.29,8,66,86.84
ACC,EQ,2021-06-01,1986.05,1990.0,2001.0,1959.75,1970.0,1973.45,1979.46,297295,5884.83,12595,60122,20.22
ACCELYA,EQ,2021-06-01,1059.6,1055.0,1079.8,1025.0,1036.0,1047.35,1054.61,43518,458.94,2900,12862,29.56
ACCURACY,EQ,2021-06-01,59.85,62.0,62.35,59.35,60.9,60.55,60.44,9280,5.61,130,5047,54.39
ACE,EQ,2021-06-01,169.5,170.0,173.4,163.7,166.4,166.25,167.81,433935,728.17,8093,240707,55.47
ACRYSIL,EQ,2021-06-01,560.9,575.0,596.0,541.0,555.0,556.85,566.09,571423,3234.76,29627,199547,34.92
ADANIENT,EQ,2021-06-01,1316.3,1319.9,1430.0,1309.05,1422.95,1416.25,1375.69,10018645,137825.02,226280,1308601,13.06
ADANIGREEN,EQ,2021-06-01,1268.2,1270.0,1280.0,1249.0,1265.0,1271.05,1266.1,664012,8407.09,30666,357960,53.91
ADANIPORTS,EQ,2021-06-01,769.55,773.1,801.8,764.3,799.0,798.2,788.48,17847137,140720.38,237277,3103167,17.39
ADANIPOWER,EQ,2021-06-01,92.5,94.0,97.1,91.8,95.7,95.35,95.02,31744300,30162.52,102759,10574037,33.31
ADANITRANS,EQ,2021-06-01,1473.6,1489.9,1515.0,1475.0,1499.5,1499.45,1494.75,1543382,23069.75,42937,697143,45.17
ADFFOODS,EQ,2021-06-01,996.65,1004.0,1021.0,985.0,1000.0,999.05,1006.01,56209,565.47,4764,21659,38.53
ADORWELD,EQ,2021-06-01,478.85,488.0,489.95,446.0,487.9,478.55,467.92,204841,958.49,17493,70408,34.37
ADROITINFO,EQ,2021-06-01,9.65,9.95,9.95,9.2,9.2,9.2,9.26,5715,0.53,58,5308,92.88
ADSL,EQ,2021-06-01,65.7,62.45,62.45,62.45,62.45,62.45,62.45,146289,91.36,1004,146288,100.00
ADVANIHOTR,EQ,2021-06-01,67.3,67.5,68.7,65.1,65.9,65.65,66.44,20229,13.44,384,11989,59.27
ADVENZYMES,EQ,2021-06-01,427.85,429.0,435.6,405.5,414.9,412.95,416.82,689414,2873.59,23170,267776,38.84
AEGISCHEM,EQ,2021-06-01,359.2,364.15,364.7,347.1,356.0,355.85,355.27,647712,2301.15,16052,272334,42.05
AFFLE,EQ,2021-06-01,5312.5,5300.0,5375.0,5231.05,5275.0,5280.35,5293.53,62084,3286.44,11109,27496,44.29
AGARIND,EQ,2021-06-01,211.15,212.8,212.8,202.25,204.5,205.5,205.16,25952,53.24,1029,16570,63.85
AGCNET,EQ,2021-06-01,1407.35,1383.0,1477.4,1380.0,1438.0,1413.9,1424.96,2907,41.42,380,2075,71.38
AGRITECH,EQ,2021-06-01,44.25,42.55,46.45,42.55,43.4,43.3,44.92,33861,15.21,316,23082,68.17
AGROPHOS,EQ,2021-06-01,13.3,13.5,13.9,13.2,13.65,13.75,13.49,174634,23.56,549,64522,36.95
AHLADA,EQ,2021-06-01,115.2,116.15,124.0,109.15,112.8,111.65,115.6,18000,20.81,303,10387,57.71
AHLEAST,EQ,2021-06-01,171.5,173.15,179.95,173.15,177.4,175.65,175.2,2813,4.93,185,1514,53.82
AHLUCONT,EQ,2021-06-01,306.0,309.95,310.0,306.1,308.0,308.0,307.98,8755,26.96,2217,5301,60.55
AHLWEST,EQ,2021-06-01,225.55,224.0,229.9,220.65,223.9,223.15,224.05,7109,15.93,624,3034,42.68
AIAENG,EQ,2021-06-01,1926.65,1927.65,1945.0,1896.55,1908.0,1907.1,1902.77,42118,801.41,7883,30784,73.09
AIRAN,EQ,2021-06-01,20.55,19.75,20.65,19.75,20.3,20.05,20.18,67551,13.63,607,46443,68.75
AJANTPHARM,EQ,2021-06-01,1920.75,1938.5,1953.95,1915.0,1927.6,1933.65,1936.63,62975,1219.59,5789,13450,21.36
AJMERA,EQ,2021-06-01,139.4,140.4,149.0,140.4,144.5,146.55,145.1,250147,362.96,5401,74050,29.60
AKASH,EQ,2021-06-01,211.65,215.05,222.5,209.75,220.6,219.1,216.4,49551,107.23,459,35546,71.74
AKG,EQ,2021-06-01,27.15,26.65,28.25,26.5,26.7,26.95,27.06,5904,1.6,83,3423,57.98
AKSHARCHEM,EQ,2021-06-01,296.8,302.95,302.95,288.1,288.1,291.65,293.46,23484,68.92,1503,12593,53.62
AKZOINDIA,EQ,2021-06-01,2277.6,2299.0,2299.0,2238.95,2288.0,2253.45,2248.46,83682,1881.56,4486,71847,85.86
ALANKIT,EQ,2021-06-01,18.45,18.85,18.85,17.8,18.1,18.05,18.14,204809,37.16,1172,129985,63.47
ALBERTDAVD,EQ,2021-06-01,461.65,464.4,466.75,448.0,453.65,453.8,455.72,26448,120.53,1568,15880,60.04
ALEMBICLTD,EQ,2021-06-01,128.45,128.8,129.95,123.5,125.25,125.25,126.83,720811,914.18,8445,226994,31.49
ALICON,EQ,2021-06-01,556.5,569.5,569.5,541.15,551.1,550.7,547.35,8722,47.74,853,3382,38.78
ALKALI,EQ,2021-06-01,62.0,62.1,62.85,59.65,60.7,60.5,61.04,31066,18.96,842,21447,69.04
ALKEM,EQ,2021-06-01,2989.2,3009.0,3115.0,2900.0,3115.0,3101.75,3057.04,709879,21701.28,34605,331061,46.64
ALKYLAMINE,EQ,2021-06-01,3667.95,3694.8,3710.0,3581.65,3605.0,3598.15,3617.7,107780,3899.16,17381,70286,65.21
ALLCARGO,EQ,2021-06-01,135.65,137.8,137.8,131.0,133.4,133.65,133.52,507385,677.47,5370,215804,42.53
ALLSEC,EQ,2021-06-01,372.95,377.0,379.45,360.0,362.3,361.1,368.79,18151,66.94,1464,7814,43.05
