Directory	Parent_directory	Full_Directory	file_created_time	last_modified_on	days_difference	size_in_kb	size_in_mb	size_in_gb	total_files	total_folders	folder_status
basicdetails_3	Status_check	d:\Ajith\Status_check\basicdetails_3	Mon Jun 18 19:07:35 2018	Mon Jun 18 19:37:10 2018	246.0	1059329.83	1034.51	1.01	42989	4	Not deleted
Status_check	Ajith	d:\Ajith\Status_check	Mon Jun 18 19:07:09 2018	Wed Jun 20 17:48:36 2018	244.0	4938015.41	4822.27	4.7	203038	26	Not deleted
_data	latest_code	d:\Ajith\Task_Fluke\10k_Extraction\latest_code\_data	Mon Nov 20 19:55:09 2017	Tue Apr 10 15:54:02 2018	315.0	2727239.29	2663.32	2.6	1904	0	Not deleted
latest_code	10k_Extraction	d:\Ajith\Task_Fluke\10k_Extraction\latest_code	Mon Nov 20 19:50:21 2017	Thu Mar 29 21:34:16 2018	326.0	2727672.38	2663.74	2.6	1922	3	Not deleted
__data	10k_Extraction	d:\Ajith\Task_Fluke\10k_Extraction\__data	Mon Nov 20 15:24:29 2017	Mon Nov 20 17:56:11 2017	456.0	2597414.33	2536.54	2.48	2792	0	Not deleted
10k_Extraction	Task_Fluke	d:\Ajith\Task_Fluke\10k_Extraction	Mon Nov 20 13:19:13 2017	Thu Nov 30 21:38:33 2017	445.0	5331804.63	5206.84	5.09	4727	8	Not deleted
Task_Fluke	Ajith	d:\Ajith\Task_Fluke	Fri Nov 10 16:00:59 2017	Fri Feb 02 12:55:26 2018	382.0	7233197.5	7063.59	6.84	7200	284	Not deleted
w_fiind_xyz8	basic_parallel	d:\Ajith\_code\basic_parallel\w_fiind_xyz8	Fri Jun 22 13:04:09 2018	Wed Oct 17 10:20:08 2018	125.0	11455368.63	11186.88	10.92	104196	0	Not deleted
basic_parallel	_code	d:\Ajith\_code\basic_parallel	Fri Jun 22 13:00:22 2018	Tue Oct 16 20:18:15 2018	126.0	11923065.69	11643.62	11.37	189151	5	Not deleted
w_fiind_xyz8	basic_parallel_set2	d:\Ajith\_code\basic_parallel_set2\w_fiind_xyz8	Tue Jun 26 16:12:07 2018	Tue Oct 16 19:33:45 2018	126.0	5404348.41	5277.68	5.15	48320	0	Not deleted
basic_parallel_set2	_code	d:\Ajith\_code\basic_parallel_set2	Tue Jun 26 16:10:26 2018	Tue Oct 16 11:44:00 2018	126.0	5443425.09	5315.84	5.19	50443	4	Not deleted
w_fiind_xyz8	newscode2	d:\Ajith\_code\_code\newscode2\w_fiind_xyz8	Tue Sep 04 21:25:42 2018	Mon Sep 10 19:58:36 2018	162.0	3406432.01	3326.59	3.25	25037	0	Not deleted
newscode2	_code	d:\Ajith\_code\_code\newscode2	Tue Sep 04 12:40:20 2018	Wed Sep 05 10:31:36 2018	167.0	3493350.81	3411.47	3.33	25485	6	Not deleted
_code	_code	d:\Ajith\_code\_code	Tue Sep 04 12:38:41 2018	Sat Oct 27 12:20:49 2018	115.0	3782306.77	3693.43	3.57	40514	728	Not deleted
vs2017layout	d:	d:\vs2017layout	Tue Apr 03 11:00:47 2018	Tue Apr 03 11:02:57 2018	322.0	2102250.51	2053.0	1.83	433	392	Not deleted
